maintenance_id,service_id,equipment_id,equipment_type,equipment_model_class,site_id,maintenance_date,maintenance_type,priority,operating_hours,component,failure_mode,reported_symptom,probable_cause,work_performed,parts_materials,technician_id,labor_hours,downtime_hours,material_cost,labor_cost,total_cost,status
MR-00011,SR-00011,EQ-0101,Crawler Dozer,35T Class Dozer,SITE-02,2026-01-31,Corrective,Low,8442,Engine Cooling System,Internal leakage,hydraulic oil appears contaminated,sticking spool valve,checked pump output and inspected for internal leakage,Accumulator charging kit,TECH-0501,12.98,1.53,62207.63,9431.73,71639.36,Completed
MR-00012,SR-00012,EQ-0151,Hydraulic Excavator,20T Class Excavator,SITE-08,2022-09-20,Corrective,Critical,16237,Pilot Valve,Overheating,boom movement slow under load,air entering suction line,replaced damaged seal kit and performed leak test,Hydraulic hose,TECH-0475,15.2,7.25,34261.38,13714.34,47975.72,Completed
MR-00013,SR-00013,EQ-0065,Hydraulic Excavator,20T Class Excavator,SITE-07,2024-08-31,Preventive,High,14155,Travel Motor,Accumulator pressure loss,travel function loses power on incline,degraded hydraulic fluid,replaced damaged hose and pressure-tested the circuit,Pump seal kit,TECH-0746,12.18,4.12,22705.91,10654.61,33360.52,Completed
MR-00014,SR-00014,EQ-0181,Motor Grader,16M Class Grader,SITE-05,2022-10-15,Corrective,High,2620,Hydraulic Filter,Valve sticking,pilot pressure below expected range,low pilot supply pressure,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,TECH-0587,4.43,9.14,37303.71,4000.14,41303.85,Completed
MR-00015,SR-00015,EQ-0212,Hydraulic Excavator,45T Class Excavator,SITE-01,2023-05-10,Corrective,Medium,8189,Accumulator,External leakage,hydraulic oil appears contaminated,contaminated hydraulic oil,replaced restricted hydraulic filter and checked contamination source,Accumulator charging kit,TECH-0564,12.55,1.0,46429.46,11482.64,57912.1,Closed
MR-00016,SR-00016,EQ-0233,Crawler Dozer,25T Class Dozer,SITE-05,2023-05-05,Preventive,Medium,6664,Accumulator,Valve sticking,filter restriction indicator activated,worn pump components,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0885,3.43,6.73,25739.52,1757.3,27496.82,Completed
MR-00017,SR-00017,EQ-0126,Hydraulic Excavator,20T Class Excavator,SITE-08,2023-05-16,Corrective,Critical,2253,Swing Motor,Hose failure,swing movement is slow,air entering suction line,checked accumulator pre-charge and restored it to service specification,Pump seal kit,TECH-0598,13.27,6.51,51092.36,12053.88,63146.24,Follow-up Required
MR-00018,SR-00018,EQ-0066,Hydraulic Excavator,30T Class Excavator,SITE-05,2022-04-03,Corrective,Low,2995,Pilot Valve,Overheating,visible oil leak near hydraulic line,restricted return filter,replaced damaged hose and pressure-tested the circuit,Hydraulic line fittings,TECH-0997,14.58,4.11,51797.96,14505.68,66303.64,Completed - Monitor
MR-00019,SR-00019,EQ-0125,Hydraulic Excavator,35T Class Excavator,SITE-03,2025-06-27,Corrective,High,15353,Hydraulic Filter,Air ingress,arm movement slow after hydraulic oil warms,high oil temperature,inspected valve spool movement and cleaned the valve assembly,Cooler gasket set,TECH-0743,1.57,4.54,34339.01,781.62,35120.63,Follow-up Required
MR-00020,SR-00020,EQ-0173,Hydraulic Excavator,20T Class Excavator,SITE-06,2022-02-15,Preventive,Critical,15278,Engine Cooling System,Cooler restriction,hydraulic oil temperature rises during continuous operation,low pilot supply pressure,inspected hydraulic circuit and isolated the affected component,Pilot filter,TECH-0823,8.11,10.16,16319.01,6876.26,23195.27,Closed
MR-00021,SR-00021,EQ-0065,Hydraulic Excavator,20T Class Excavator,SITE-07,2023-03-21,Corrective,High,17274,Hydraulic Cooler,External leakage,pilot pressure below expected range,restricted return filter,inspected valve spool movement and cleaned the valve assembly,Cooler gasket set,TECH-0210,10.82,2.74,5544.28,6500.83,12045.11,Follow-up Required
MR-00022,SR-00022,EQ-0092,Wheel Loader,25T Class Wheel Loader,SITE-06,2023-01-12,Corrective,Medium,3045,Hydraulic Hose,Cooler restriction,reduced digging force,degraded hydraulic fluid,inspected suction line for air ingress and corrected the connection,Hydraulic oil,TECH-0417,13.82,3.81,37961.43,9871.82,47833.25,Completed
MR-00023,SR-00023,EQ-0035,Hydraulic Excavator,45T Class Excavator,SITE-08,2022-01-26,Condition-Based,Medium,12911,Hydraulic Filter,Oil contamination,arm movement slow after hydraulic oil warms,internal cylinder leakage,checked accumulator pre-charge and restored it to service specification,Accumulator charging kit,TECH-0062,4.06,4.78,51782.73,3045.72,54828.45,Completed
MR-00024,SR-00024,EQ-0028,Hydraulic Excavator,30T Class Excavator,SITE-07,2022-12-20,Preventive,High,5356,Swing Motor,Low pilot pressure,travel function loses power on incline,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",No replacement part,TECH-0760,3.51,6.56,31189.89,2888.58,34078.47,Closed
MR-00025,SR-00025,EQ-0009,Crawler Dozer,35T Class Dozer,SITE-02,2025-10-05,Corrective,Medium,11350,Hydraulic Tank,Cooler restriction,reduced digging force,sticking spool valve,inspected hydraulic circuit and isolated the affected component,Hydraulic hose,TECH-0264,1.7,3.81,2910.02,1473.77,4383.79,Completed
MR-00026,SR-00026,EQ-0036,Crawler Dozer,35T Class Dozer,SITE-04,2025-10-03,Condition-Based,Medium,16604,Hydraulic Tank,Pump wear,filter restriction indicator activated,worn pump components,inspected valve spool movement and cleaned the valve assembly,Hydraulic line fittings,TECH-0564,10.69,5.58,440.8,11449.99,11890.79,Closed
MR-00027,SR-00027,EQ-0211,Motor Grader,14M Class Grader,SITE-07,2026-05-12,Corrective,High,8853,Swing Motor,Valve sticking,travel function loses power on incline,internal cylinder leakage,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0318,5.47,2.34,8838.01,3288.98,12126.99,Completed - Monitor
MR-00028,SR-00028,EQ-0102,Hydraulic Excavator,45T Class Excavator,SITE-07,2025-05-15,Corrective,High,6924,Swing Motor,Valve sticking,arm movement slow after hydraulic oil warms,internal cylinder leakage,checked accumulator pre-charge and restored it to service specification,Pilot filter,TECH-0249,9.27,8.83,64951.89,7657.57,72609.46,Completed - Monitor
MR-00029,SR-00029,EQ-0208,Hydraulic Excavator,45T Class Excavator,SITE-08,2023-12-25,Corrective,Medium,17359,Hydraulic Cooler,Restricted flow,arm movement slow after hydraulic oil warms,restricted return filter,inspected suction line for air ingress and corrected the connection,Cooler gasket set,TECH-0955,7.12,0.86,12791.95,5677.91,18469.86,Completed
MR-00030,SR-00030,EQ-0131,Wheel Loader,20T Class Wheel Loader,SITE-01,2022-07-16,Condition-Based,Critical,9257,Accumulator,Accumulator pressure loss,hydraulic oil temperature rises during continuous operation,damaged cylinder seal,inspected hydraulic circuit and isolated the affected component,Pump seal kit,TECH-0189,7.41,6.62,23193.8,3658.62,26852.42,Completed
MR-00031,SR-00031,EQ-0073,Hydraulic Excavator,30T Class Excavator,SITE-01,2023-10-24,Preventive,Medium,17764,Hydraulic Tank,Cylinder seal wear,hydraulic oil temperature rises during continuous operation,low pilot supply pressure,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0163,2.74,4.87,45811.8,2466.44,48278.24,Completed
MR-00032,SR-00032,EQ-0002,Wheel Loader,20T Class Wheel Loader,SITE-01,2022-03-10,Corrective,High,18152,Hydraulic Tank,Overheating,hydraulic response is jerky,restricted hydraulic line,inspected valve spool movement and cleaned the valve assembly,Hydraulic filter,TECH-0876,10.8,0.86,52992.27,5339.21,58331.48,Completed
MR-00033,SR-00033,EQ-0046,Hydraulic Excavator,20T Class Excavator,SITE-08,2025-04-14,Corrective,High,2249,Main Control Valve,Low pilot pressure,hydraulic response is jerky,restricted return filter,checked pressure and flow at operating temperature,Pilot filter,TECH-0196,5.62,6.06,64263.03,3635.85,67898.88,Completed
MR-00034,SR-00034,EQ-0090,Hydraulic Excavator,30T Class Excavator,SITE-01,2024-03-30,Inspection,Medium,9531,Swing Motor,Overheating,hydraulic oil temperature rises during continuous operation,low pilot supply pressure,replaced damaged hose and pressure-tested the circuit,Hydraulic line fittings,TECH-0586,13.26,7.31,64167.82,13543.94,77711.76,Completed
MR-00035,SR-00035,EQ-0148,Hydraulic Excavator,45T Class Excavator,SITE-06,2023-06-22,Corrective,Low,16964,Hydraulic Hose,Cooler restriction,reduced digging force,internal cylinder leakage,cleaned cooler and verified hydraulic oil temperature,Cooler gasket set,TECH-0535,11.6,7.62,57459.5,11453.07,68912.57,Completed
MR-00036,SR-00036,EQ-0135,Crawler Dozer,35T Class Dozer,SITE-01,2023-09-01,Condition-Based,High,16815,Pilot Valve,Filter blockage,visible oil leak near hydraulic line,blocked cooler core,checked accumulator pre-charge and restored it to service specification,Accumulator charging kit,TECH-0970,11.58,4.36,25507.1,10154.39,35661.49,Completed
MR-00037,SR-00037,EQ-0013,Hydraulic Excavator,35T Class Excavator,SITE-04,2026-05-17,Condition-Based,High,11390,Hydraulic Line,Restricted flow,swing movement is slow,damaged cylinder seal,checked pressure and flow at operating temperature,Return filter element,TECH-0086,3.61,8.0,17360.93,3569.59,20930.52,Completed
MR-00038,SR-00038,EQ-0237,Hydraulic Excavator,45T Class Excavator,SITE-04,2024-02-15,Preventive,High,7490,Boom Cylinder,Cylinder seal wear,hydraulic oil appears contaminated,blocked cooler core,replaced damaged hose and pressure-tested the circuit,Hydraulic hose,TECH-0033,7.65,2.19,51159.56,4071.08,55230.64,Completed
MR-00039,SR-00039,EQ-0030,Hydraulic Excavator,35T Class Excavator,SITE-02,2022-02-09,Condition-Based,Critical,7261,Hydraulic Line,Cylinder seal wear,reduced digging force,sticking spool valve,replaced damaged hose and pressure-tested the circuit,Hydraulic hose,TECH-0403,1.47,7.23,25537.33,1550.35,27087.68,Completed - Monitor
MR-00040,SR-00040,EQ-0233,Crawler Dozer,25T Class Dozer,SITE-05,2026-02-14,Corrective,High,17346,Main Control Valve,Cylinder seal wear,hydraulic response is jerky,restricted hydraulic line,replaced damaged seal kit and performed leak test,Hydraulic filter,TECH-0142,10.55,0.75,8589.29,10932.39,19521.68,Completed
MR-00041,SR-00041,EQ-0058,Hydraulic Excavator,45T Class Excavator,SITE-03,2023-06-27,Corrective,Medium,2415,Pilot Valve,Filter blockage,filter restriction indicator activated,low pilot supply pressure,inspected hydraulic circuit and isolated the affected component,Pump seal kit,TECH-0055,3.15,9.13,37401.2,2418.65,39819.85,Completed
MR-00042,SR-00042,EQ-0034,Motor Grader,14M Class Grader,SITE-08,2026-03-06,Inspection,Medium,17758,Accumulator,Hose failure,pilot pressure below expected range,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Accumulator charging kit,TECH-0333,12.7,2.91,60154.18,8176.77,68330.95,Closed
MR-00043,SR-00043,EQ-0072,Crawler Dozer,25T Class Dozer,SITE-06,2024-07-13,Corrective,Medium,8128,Accumulator,Restricted flow,boom movement slow under load,damaged cylinder seal,inspected suction line for air ingress and corrected the connection,Return filter element,TECH-0549,15.16,2.06,7738.98,14603.23,22342.21,Completed
MR-00044,SR-00044,EQ-0009,Crawler Dozer,35T Class Dozer,SITE-02,2025-06-09,Condition-Based,High,12643,Main Control Valve,Low pilot pressure,boom movement slow under load,damaged cylinder seal,replaced damaged seal kit and performed leak test,Hydraulic hose,TECH-0912,16.0,4.87,34927.89,9849.62,44777.51,Completed
MR-00045,SR-00045,EQ-0195,Hydraulic Excavator,20T Class Excavator,SITE-04,2023-05-18,Corrective,High,3389,Hydraulic Pump,Overheating,swing movement is slow,restricted hydraulic line,checked accumulator pre-charge and restored it to service specification,Cooler gasket set,TECH-0014,9.82,5.64,54311.93,5734.48,60046.41,Closed
MR-00046,SR-00046,EQ-0024,Hydraulic Excavator,45T Class Excavator,SITE-02,2025-06-26,Corrective,Critical,6969,Bucket Cylinder,External leakage,reduced digging force,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,TECH-0530,14.92,1.59,42112.8,13652.85,55765.65,Completed
MR-00047,SR-00047,EQ-0240,Hydraulic Excavator,30T Class Excavator,SITE-06,2025-12-22,Condition-Based,High,4373,Hydraulic Cooler,Oil contamination,arm movement slow after hydraulic oil warms,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,No replacement part,TECH-0090,1.49,5.76,41746.78,1028.29,42775.07,Completed
MR-00048,SR-00048,EQ-0058,Hydraulic Excavator,45T Class Excavator,SITE-03,2024-07-04,Preventive,High,7729,Hydraulic Filter,External leakage,visible oil leak near hydraulic line,air entering suction line,inspected suction line for air ingress and corrected the connection,Hydraulic oil,TECH-0268,8.1,7.96,2497.1,8416.23,10913.33,Follow-up Required
MR-00049,SR-00049,EQ-0003,Crawler Dozer,35T Class Dozer,SITE-07,2025-10-18,Inspection,Medium,8268,Fuel System,Air ingress,reduced digging force,restricted hydraulic line,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,TECH-0181,8.7,1.93,17847.96,6315.86,24163.82,Closed
MR-00050,SR-00050,EQ-0220,Hydraulic Excavator,35T Class Excavator,SITE-05,2023-03-26,Corrective,Medium,4923,Swing Motor,Oil contamination,reduced digging force,worn pump components,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,TECH-0169,16.0,4.93,7028.33,16549.03,23577.36,Completed - Monitor
MR-00051,SR-00051,EQ-0131,Wheel Loader,20T Class Wheel Loader,SITE-01,2026-07-31,Corrective,Medium,14083,Hydraulic Cooler,Internal leakage,arm movement slow after hydraulic oil warms,low pilot supply pressure,inspected valve spool movement and cleaned the valve assembly,Accumulator charging kit,TECH-0662,15.46,8.89,40398.7,12822.01,53220.71,Completed
MR-00052,SR-00052,EQ-0015,Crawler Dozer,25T Class Dozer,SITE-03,2025-02-17,Corrective,Low,10836,Hydraulic Line,Air ingress,pilot pressure below expected range,worn pump components,checked accumulator pre-charge and restored it to service specification,Valve O-rings,TECH-0478,7.8,3.05,12306.34,4677.17,16983.51,Completed - Monitor
MR-00053,SR-00053,EQ-0217,Wheel Loader,25T Class Wheel Loader,SITE-01,2025-05-27,Corrective,Medium,10275,Hydraulic Line,External leakage,swing movement is slow,damaged cylinder seal,replaced damaged seal kit and performed leak test,Pump seal kit,TECH-0173,13.3,4.67,17425.12,14167.89,31593.01,Completed
MR-00054,SR-00054,EQ-0235,Hydraulic Excavator,30T Class Excavator,SITE-07,2022-07-11,Corrective,High,12964,Main Control Valve,Cooler restriction,pilot pressure below expected range,contaminated hydraulic oil,inspected hydraulic circuit and isolated the affected component,Hydraulic oil,TECH-0904,4.12,6.44,59769.58,2655.09,62424.67,Completed
MR-00055,SR-00055,EQ-0212,Hydraulic Excavator,45T Class Excavator,SITE-01,2026-05-13,Corrective,High,12385,Boom Cylinder,Filter blockage,arm movement slow after hydraulic oil warms,damaged cylinder seal,inspected hydraulic circuit and isolated the affected component,Valve O-rings,TECH-0915,14.57,7.77,42258.49,15552.75,57811.24,Completed
MR-00056,SR-00056,EQ-0003,Crawler Dozer,35T Class Dozer,SITE-07,2023-09-16,Corrective,High,16832,Fuel System,Cylinder seal wear,boom movement slow under load,air entering suction line,inspected hydraulic circuit and isolated the affected component,Hydraulic line fittings,TECH-0537,9.21,4.55,9471.78,10117.18,19588.96,Completed
MR-00057,SR-00057,EQ-0150,Wheel Loader,25T Class Wheel Loader,SITE-01,2024-06-04,Condition-Based,Medium,8554,Fuel System,Accumulator pressure loss,boom movement slow under load,internal cylinder leakage,replaced damaged seal kit and performed leak test,Cooler gasket set,TECH-0906,9.9,0.25,63994.11,7753.7,71747.81,Completed
MR-00058,SR-00058,EQ-0237,Hydraulic Excavator,45T Class Excavator,SITE-04,2025-07-30,Preventive,High,6415,Boom Cylinder,Oil contamination,reduced digging force,air entering suction line,checked accumulator pre-charge and restored it to service specification,Valve O-rings,TECH-0140,13.09,2.34,44514.07,12069.45,56583.52,Closed
MR-00059,SR-00059,EQ-0110,Hydraulic Excavator,45T Class Excavator,SITE-06,2026-06-14,Condition-Based,High,15799,Accumulator,Restricted flow,pump noise increases during operation,blocked cooler core,cleaned cooler and verified hydraulic oil temperature,Hydraulic filter,TECH-0107,8.51,7.77,57650.53,7021.03,64671.56,Completed
MR-00060,SR-00060,EQ-0120,Crawler Dozer,35T Class Dozer,SITE-04,2026-04-05,Corrective,High,3200,Hydraulic Tank,Cooler restriction,hydraulic oil temperature rises during continuous operation,damaged cylinder seal,inspected hydraulic circuit and isolated the affected component,Accumulator charging kit,TECH-0553,1.72,4.04,20613.52,1556.89,22170.41,Completed - Monitor
MR-00061,SR-00061,EQ-0235,Hydraulic Excavator,30T Class Excavator,SITE-07,2024-01-14,Inspection,Medium,8859,Hydraulic Cooler,Low pilot pressure,bucket will not open normally,air entering suction line,replaced damaged seal kit and performed leak test,Hydraulic line fittings,TECH-0041,15.87,6.41,60788.14,8640.86,69429.0,Completed
MR-00062,SR-00062,EQ-0089,Motor Grader,16M Class Grader,SITE-02,2026-05-10,Corrective,Medium,6302,Hydraulic Hose,Cooler restriction,pump noise increases during operation,contaminated hydraulic oil,replaced damaged seal kit and performed leak test,Hydraulic line fittings,TECH-0638,15.45,3.89,63238.83,16964.06,80202.89,Completed
MR-00063,SR-00063,EQ-0191,Hydraulic Excavator,45T Class Excavator,SITE-07,2022-03-18,Corrective,Medium,8877,Hydraulic Line,Accumulator pressure loss,swing movement is slow,damaged hydraulic hose,cleaned cooler and verified hydraulic oil temperature,Accumulator charging kit,TECH-0024,6.98,2.32,16076.01,5791.24,21867.25,Completed
MR-00064,SR-00064,EQ-0027,Wheel Loader,25T Class Wheel Loader,SITE-07,2024-12-27,Corrective,Medium,12881,Arm Cylinder,Internal leakage,pilot pressure below expected range,degraded hydraulic fluid,inspected valve spool movement and cleaned the valve assembly,Return filter element,TECH-0960,6.44,5.63,28263.41,6160.32,34423.73,Completed
MR-00065,SR-00065,EQ-0183,Hydraulic Excavator,30T Class Excavator,SITE-01,2024-08-22,Corrective,Medium,2748,Hydraulic Pump,Hose failure,bucket will not open normally,internal cylinder leakage,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic line fittings,TECH-0046,6.84,13.85,25556.48,3602.07,29158.55,Completed
MR-00066,SR-00066,EQ-0037,Hydraulic Excavator,30T Class Excavator,SITE-08,2025-10-31,Corrective,High,6045,Hydraulic Cooler,Restricted flow,hydraulic oil temperature rises during continuous operation,restricted hydraulic line,replaced damaged seal kit and performed leak test,Hydraulic filter,TECH-0853,7.47,4.9,29759.74,7324.76,37084.5,Closed
MR-00067,SR-00067,EQ-0001,Crawler Dozer,35T Class Dozer,SITE-04,2022-11-28,Condition-Based,Medium,15973,Travel Motor,Cylinder seal wear,boom movement slow under load,sticking spool valve,inspected valve spool movement and cleaned the valve assembly,Hydraulic line fittings,TECH-0542,7.22,5.3,7828.53,3380.34,11208.87,Completed
MR-00068,SR-00068,EQ-0085,Hydraulic Excavator,35T Class Excavator,SITE-02,2022-01-07,Preventive,Medium,17528,Main Control Valve,Pump wear,reduced digging force,damaged hydraulic hose,replaced damaged hose and pressure-tested the circuit,Hydraulic oil,TECH-0749,1.55,0.25,5730.93,1657.27,7388.2,Completed
MR-00069,SR-00069,EQ-0103,Hydraulic Excavator,35T Class Excavator,SITE-06,2026-04-07,Corrective,Medium,8128,Accumulator,Low pilot pressure,pilot pressure below expected range,loss of accumulator pre-charge,inspected hydraulic circuit and isolated the affected component,Hydraulic line fittings,TECH-0874,15.47,3.31,55029.92,12397.5,67427.42,Completed
MR-00070,SR-00070,EQ-0121,Motor Grader,16M Class Grader,SITE-01,2023-02-18,Condition-Based,Medium,17956,Hydraulic Filter,Accumulator pressure loss,visible oil leak near hydraulic line,restricted return filter,checked pump output and inspected for internal leakage,Hydraulic filter,TECH-0804,13.01,0.25,31420.94,7738.78,39159.72,Completed
MR-00071,SR-00071,EQ-0071,Wheel Loader,25T Class Wheel Loader,SITE-05,2025-10-04,Preventive,Medium,7117,Engine Cooling System,Internal leakage,swing movement is slow,damaged cylinder seal,checked accumulator pre-charge and restored it to service specification,Cooler gasket set,TECH-0946,9.2,3.59,63232.52,6865.07,70097.59,Completed
MR-00072,SR-00072,EQ-0077,Wheel Loader,25T Class Wheel Loader,SITE-01,2022-09-07,Inspection,Medium,9268,Engine Cooling System,Cylinder seal wear,bucket will not open normally,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0570,2.12,8.18,39235.35,1419.14,40654.49,Completed
MR-00073,SR-00073,EQ-0075,Wheel Loader,20T Class Wheel Loader,SITE-08,2022-01-06,Preventive,Low,10270,Fuel System,Line restriction,hydraulic response is jerky,contaminated hydraulic oil,checked pump output and inspected for internal leakage,Hydraulic filter,TECH-0328,5.12,2.13,45707.05,4124.41,49831.46,Closed
MR-00074,SR-00074,EQ-0117,Wheel Loader,20T Class Wheel Loader,SITE-01,2025-12-01,Preventive,High,13485,Swing Motor,Filter blockage,bucket cylinder leaking externally,sticking spool valve,replaced damaged seal kit and performed leak test,Accumulator charging kit,TECH-0795,8.37,14.17,30166.56,3860.58,34027.14,Completed
MR-00075,SR-00075,EQ-0206,Crawler Dozer,35T Class Dozer,SITE-06,2022-03-04,Corrective,Medium,14779,Engine Cooling System,Internal leakage,pump noise increases during operation,contaminated hydraulic oil,checked accumulator pre-charge and restored it to service specification,Cylinder seal kit,TECH-0034,15.55,2.14,17768.73,7294.76,25063.49,Completed
MR-00076,SR-00076,EQ-0015,Crawler Dozer,25T Class Dozer,SITE-03,2025-01-25,Corrective,High,13442,Main Control Valve,Oil contamination,bucket will not open normally,contaminated hydraulic oil,checked pump output and inspected for internal leakage,Valve O-rings,TECH-0793,6.6,3.27,37965.15,3287.64,41252.79,Follow-up Required
MR-00077,SR-00077,EQ-0169,Hydraulic Excavator,30T Class Excavator,SITE-07,2026-06-09,Corrective,High,10300,Swing Motor,Overheating,hydraulic oil temperature rises during continuous operation,loss of accumulator pre-charge,inspected valve spool movement and cleaned the valve assembly,Return filter element,TECH-0624,6.27,0.58,9164.18,4496.24,13660.42,Closed
MR-00078,SR-00078,EQ-0236,Wheel Loader,20T Class Wheel Loader,SITE-07,2025-01-12,Corrective,High,3093,Hydraulic Pump,Accumulator pressure loss,hydraulic oil appears contaminated,sticking spool valve,tested pilot pressure and inspected pilot circuit,Pilot filter,TECH-0541,3.71,7.74,28624.49,1680.96,30305.45,Completed
MR-00079,SR-00079,EQ-0188,Hydraulic Excavator,45T Class Excavator,SITE-07,2022-03-15,Corrective,Medium,12201,Swing Motor,Restricted flow,bucket will not open normally,restricted hydraulic line,inspected hydraulic circuit and isolated the affected component,Hydraulic oil,TECH-0071,3.31,5.06,38823.26,2029.33,40852.59,Closed
MR-00080,SR-00080,EQ-0069,Hydraulic Excavator,20T Class Excavator,SITE-02,2022-04-10,Inspection,High,8908,Accumulator,Pump wear,visible oil leak near hydraulic line,contaminated hydraulic oil,checked accumulator pre-charge and restored it to service specification,Hydraulic filter,TECH-0969,2.35,0.25,9224.29,1453.79,10678.08,Completed
MR-00081,SR-00081,EQ-0035,Hydraulic Excavator,45T Class Excavator,SITE-08,2022-12-21,Corrective,High,10566,Accumulator,Cooler restriction,hydraulic flow is low at operating temperature,internal cylinder leakage,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,TECH-0815,0.97,3.95,58469.46,965.42,59434.88,Follow-up Required
MR-00082,SR-00082,EQ-0107,Hydraulic Excavator,45T Class Excavator,SITE-08,2025-07-30,Corrective,Critical,15929,Fuel System,Valve sticking,hydraulic oil appears contaminated,blocked cooler core,inspected suction line for air ingress and corrected the connection,Cooler gasket set,TECH-0148,13.82,6.37,61368.25,7062.83,68431.08,Closed
MR-00083,SR-00083,EQ-0083,Wheel Loader,20T Class Wheel Loader,SITE-04,2026-06-04,Preventive,High,2233,Hydraulic Cooler,Cooler restriction,bucket cylinder leaking externally,contaminated hydraulic oil,replaced damaged hose and pressure-tested the circuit,Return filter element,TECH-0136,12.58,1.7,35456.96,12328.06,47785.02,Closed
