technician_id,role,specialization,primary_certification,skill_level,experience_years,shift,employment_type,region,workshop_or_field,active_status
TECH-0018,Hydraulic Technician,Powertrain,Fluid Power Technician,Junior,3,Night,Permanent,South India,Field,Active
TECH-0019,Diagnostic Technician,Hydraulics,OEM-Equivalent Service Training,Lead,17,Evening,Permanent,East India,Field,Active
TECH-0020,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,11,Night,Service Partner,South India,Field,Active
TECH-0021,Field Service Technician,Electrical,Heavy Equipment Maintenance,Lead,19,Evening,Permanent,Central India,Workshop,Active
TECH-0022,Maintenance Technician,Powertrain,Heavy Equipment Maintenance,Senior,14,Day,Service Partner,West India,Field,Active
TECH-0023,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 2,Lead,19,Day,Permanent,Central India,Workshop,Active
TECH-0024,Maintenance Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,13,Night,Contract,East India,Field,On Rotation
TECH-0025,Field Service Technician,General Maintenance,Industrial Safety,Senior,9,Night,Contract,East India,Field,Active
TECH-0026,Workshop Technician,Hydraulics,Hydraulic Systems Level 2,Senior,9,Night,Permanent,Central India,Workshop,Active
TECH-0027,Maintenance Technician,Hydraulics,Heavy Equipment Maintenance,Senior,13,Evening,Permanent,West India,Field,Active
TECH-0028,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,12,Day,Permanent,West India,Field,Active
TECH-0029,Field Service Technician,Powertrain,Hydraulic Systems Level 1,Intermediate,7,Evening,Service Partner,North India,Field,Active
TECH-0030,Workshop Technician,General Maintenance,Heavy Equipment Maintenance,Senior,10,Day,Permanent,Central India,Field,Active
TECH-0031,Maintenance Technician,Hydraulics,Hydraulic Systems Level 1,Junior,2,Day,Permanent,South India,Field,On Rotation
TECH-0032,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Senior,14,Day,Permanent,West India,Workshop,On Rotation
TECH-0033,Diagnostic Technician,General Maintenance,OEM-Equivalent Service Training,Lead,16,Night,Service Partner,East India,Field,Active
TECH-0034,Hydraulic Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,19,Day,Contract,North India,Field,Active
TECH-0035,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Senior,11,Day,Service Partner,West India,Workshop,Active
TECH-0036,Hydraulic Technician,Heavy Equipment,Fluid Power Technician,Lead,15,Evening,Contract,South India,Field,On Rotation
TECH-0037,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 2,Senior,13,Night,Permanent,West India,Workshop,Active
TECH-0038,Hydraulic Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,13,Evening,Permanent,Central India,Workshop,Active
TECH-0039,Diagnostic Technician,Hydraulics,OEM-Equivalent Service Training,Senior,12,Evening,Permanent,West India,Field,Active
TECH-0040,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 1,Junior,1,Night,Permanent,West India,Field,Active
TECH-0041,Senior Technician,Heavy Equipment,Heavy Equipment Maintenance,Intermediate,8,Day,Permanent,South India,Field,On Rotation
TECH-0042,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Lead,17,Evening,Permanent,South India,Field,Active
TECH-0043,Field Service Technician,General Maintenance,Hydraulic Systems Level 1,Intermediate,8,Day,Permanent,South India,Field,Active
TECH-0044,Senior Technician,Hydraulics,Fluid Power Technician,Senior,11,Night,Contract,Central India,Field,Active
TECH-0045,Field Service Technician,General Maintenance,Industrial Safety,Lead,17,Evening,Permanent,Central India,Workshop,Active
TECH-0046,Senior Technician,Electrical,OEM-Equivalent Service Training,Senior,14,Night,Permanent,West India,Field,On Rotation
TECH-0047,Senior Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,6,Night,Permanent,Central India,Field,Active
TECH-0048,Field Service Technician,Hydraulics,Industrial Safety,Lead,16,Evening,Permanent,South India,Field,On Rotation
TECH-0049,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,9,Evening,Permanent,South India,Workshop,Active
TECH-0050,Maintenance Technician,Hydraulics,Hydraulic Systems Level 1,Senior,11,Night,Contract,East India,Field,Active
TECH-0051,Diagnostic Technician,Electrical,Hydraulic Systems Level 2,Intermediate,6,Night,Permanent,North India,Field,Active
TECH-0052,Diagnostic Technician,Heavy Equipment,Industrial Safety,Intermediate,8,Night,Permanent,Central India,Workshop,Active
TECH-0053,Senior Technician,General Maintenance,Hydraulic Systems Level 2,Senior,12,Evening,Permanent,East India,Field,Active
TECH-0054,Maintenance Technician,Hydraulics,Industrial Safety,Senior,10,Day,Contract,South India,Field,Active
TECH-0055,Field Service Technician,Hydraulics,Industrial Safety,Intermediate,7,Day,Contract,Central India,Field,On Rotation
TECH-0056,Workshop Technician,Hydraulics,Fluid Power Technician,Lead,19,Day,Permanent,West India,Field,Active
TECH-0057,Diagnostic Technician,Hydraulics,Fluid Power Technician,Lead,19,Evening,Contract,North India,Field,On Rotation
TECH-0058,Hydraulic Technician,Powertrain,Hydraulic Systems Level 1,Lead,15,Day,Service Partner,East India,Field,Active
TECH-0059,Field Service Technician,Heavy Equipment,Industrial Safety,Senior,11,Night,Permanent,West India,Workshop,Active
TECH-0060,Diagnostic Technician,Hydraulics,Fluid Power Technician,Lead,17,Evening,Permanent,East India,Field,Active
TECH-0061,Hydraulic Technician,General Maintenance,Fluid Power Technician,Lead,17,Night,Contract,Central India,Workshop,On Rotation
TECH-0062,Workshop Technician,Electrical,Hydraulic Systems Level 1,Lead,20,Evening,Permanent,North India,Field,Active
TECH-0063,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,13,Evening,Permanent,West India,Workshop,Active
TECH-0064,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Intermediate,6,Day,Permanent,East India,Workshop,On Rotation
TECH-0065,Field Service Technician,Electrical,OEM-Equivalent Service Training,Intermediate,5,Day,Permanent,East India,Field,On Rotation
TECH-0066,Field Service Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,19,Evening,Service Partner,West India,Field,On Rotation
TECH-0067,Field Service Technician,Electrical,Hydraulic Systems Level 2,Lead,19,Day,Service Partner,West India,Field,Active
TECH-0068,Workshop Technician,Hydraulics,Hydraulic Systems Level 1,Lead,15,Evening,Permanent,West India,Field,Active
TECH-0069,Senior Technician,General Maintenance,Hydraulic Systems Level 1,Lead,16,Night,Permanent,South India,Workshop,Active
TECH-0070,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 2,Junior,3,Evening,Permanent,West India,Field,Active
TECH-0071,Maintenance Technician,Electrical,Industrial Safety,Lead,16,Night,Contract,Central India,Field,Active
TECH-0072,Workshop Technician,Electrical,Hydraulic Systems Level 2,Intermediate,5,Evening,Service Partner,West India,Workshop,Active
TECH-0073,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Lead,19,Evening,Permanent,East India,Field,Active
TECH-0074,Maintenance Technician,Electrical,Hydraulic Systems Level 1,Junior,2,Day,Contract,North India,Field,On Rotation
TECH-0075,Field Service Technician,General Maintenance,Hydraulic Systems Level 2,Junior,1,Night,Permanent,East India,Field,On Rotation
TECH-0076,Maintenance Technician,Electrical,OEM-Equivalent Service Training,Senior,9,Day,Contract,West India,Workshop,Active
TECH-0077,Maintenance Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,15,Day,Permanent,North India,Field,On Rotation
TECH-0078,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Lead,16,Day,Contract,South India,Workshop,Active
TECH-0079,Field Service Technician,Powertrain,Hydraulic Systems Level 2,Lead,18,Evening,Permanent,South India,Workshop,On Rotation
TECH-0080,Diagnostic Technician,Hydraulics,OEM-Equivalent Service Training,Lead,20,Day,Contract,Central India,Workshop,Active
TECH-0081,Senior Technician,Heavy Equipment,Heavy Equipment Maintenance,Junior,1,Night,Contract,East India,Field,Active
TECH-0082,Senior Technician,Heavy Equipment,OEM-Equivalent Service Training,Lead,19,Day,Permanent,West India,Workshop,On Rotation
TECH-0083,Senior Technician,Heavy Equipment,Industrial Safety,Intermediate,7,Day,Permanent,South India,Field,Active
TECH-0084,Workshop Technician,Hydraulics,Heavy Equipment Maintenance,Senior,13,Day,Permanent,East India,Field,On Rotation
TECH-0085,Hydraulic Technician,General Maintenance,Hydraulic Systems Level 1,Lead,16,Evening,Permanent,Central India,Field,On Rotation
TECH-0086,Hydraulic Technician,Heavy Equipment,Heavy Equipment Maintenance,Intermediate,7,Day,Contract,South India,Field,Active
TECH-0087,Hydraulic Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,9,Day,Permanent,North India,Field,On Rotation
TECH-0088,Maintenance Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,7,Evening,Permanent,Central India,Field,Active
TECH-0089,Diagnostic Technician,General Maintenance,Industrial Safety,Lead,17,Day,Permanent,South India,Field,Active
TECH-0090,Field Service Technician,General Maintenance,Fluid Power Technician,Senior,9,Night,Contract,North India,Workshop,Active
TECH-0091,Field Service Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,9,Day,Service Partner,South India,Workshop,Active
TECH-0092,Hydraulic Technician,General Maintenance,Hydraulic Systems Level 2,Lead,19,Evening,Permanent,West India,Field,On Rotation
TECH-0093,Maintenance Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,17,Day,Permanent,West India,Field,Active
TECH-0094,Diagnostic Technician,Heavy Equipment,OEM-Equivalent Service Training,Lead,16,Evening,Permanent,East India,Field,Active
TECH-0095,Diagnostic Technician,General Maintenance,Industrial Safety,Intermediate,8,Evening,Permanent,West India,Field,Active
TECH-0096,Maintenance Technician,Powertrain,Heavy Equipment Maintenance,Intermediate,8,Evening,Permanent,Central India,Field,Active
TECH-0097,Field Service Technician,Hydraulics,OEM-Equivalent Service Training,Senior,11,Night,Permanent,Central India,Field,Active
TECH-0098,Workshop Technician,Hydraulics,OEM-Equivalent Service Training,Lead,16,Night,Service Partner,South India,Field,Active
TECH-0099,Field Service Technician,General Maintenance,Fluid Power Technician,Lead,20,Evening,Service Partner,Central India,Field,Active
TECH-0100,Field Service Technician,Powertrain,Fluid Power Technician,Senior,13,Evening,Permanent,West India,Workshop,Active
TECH-0101,Maintenance Technician,Heavy Equipment,Heavy Equipment Maintenance,Intermediate,5,Day,Contract,Central India,Workshop,Active
TECH-0102,Maintenance Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,20,Day,Permanent,East India,Field,On Rotation
TECH-0103,Senior Technician,General Maintenance,Hydraulic Systems Level 1,Intermediate,5,Night,Service Partner,Central India,Field,Active
TECH-0104,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,20,Day,Contract,East India,Field,Active
TECH-0105,Diagnostic Technician,Powertrain,Fluid Power Technician,Senior,13,Evening,Permanent,South India,Field,Active
TECH-0106,Workshop Technician,General Maintenance,Hydraulic Systems Level 1,Lead,18,Day,Permanent,North India,Field,On Rotation
TECH-0107,Senior Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,19,Night,Permanent,North India,Field,Active
TECH-0108,Senior Technician,Hydraulics,OEM-Equivalent Service Training,Lead,16,Evening,Permanent,Central India,Field,Active
TECH-0109,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 2,Senior,12,Day,Service Partner,South India,Workshop,Active
TECH-0110,Diagnostic Technician,Hydraulics,OEM-Equivalent Service Training,Senior,9,Evening,Service Partner,Central India,Field,Active
TECH-0111,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Junior,3,Evening,Service Partner,East India,Field,On Rotation
TECH-0112,Workshop Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,5,Night,Permanent,West India,Workshop,On Rotation
TECH-0113,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Lead,19,Night,Permanent,North India,Workshop,Active
TECH-0114,Senior Technician,Heavy Equipment,Industrial Safety,Lead,18,Evening,Permanent,South India,Field,On Rotation
TECH-0115,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 2,Lead,16,Night,Permanent,North India,Workshop,On Rotation
TECH-0116,Workshop Technician,General Maintenance,OEM-Equivalent Service Training,Senior,11,Night,Service Partner,North India,Workshop,Active
TECH-0117,Senior Technician,Heavy Equipment,Fluid Power Technician,Intermediate,7,Night,Service Partner,East India,Field,Active
TECH-0118,Maintenance Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,10,Evening,Permanent,South India,Field,Active
TECH-0119,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,12,Night,Permanent,South India,Field,Active
TECH-0120,Hydraulic Technician,General Maintenance,Industrial Safety,Lead,18,Day,Permanent,North India,Workshop,On Rotation
TECH-0121,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Junior,1,Day,Permanent,South India,Field,Active
TECH-0122,Diagnostic Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,8,Evening,Permanent,East India,Field,On Rotation
TECH-0123,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 1,Senior,14,Evening,Permanent,East India,Field,Active
TECH-0124,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,13,Night,Permanent,East India,Field,Active
TECH-0125,Senior Technician,Powertrain,Hydraulic Systems Level 1,Intermediate,4,Evening,Permanent,North India,Field,Active
TECH-0126,Diagnostic Technician,Hydraulics,Industrial Safety,Lead,15,Day,Permanent,East India,Field,Active
TECH-0127,Maintenance Technician,General Maintenance,Hydraulic Systems Level 1,Lead,19,Evening,Permanent,Central India,Field,Active
TECH-0128,Senior Technician,Hydraulics,Industrial Safety,Lead,15,Evening,Permanent,East India,Field,On Rotation
TECH-0129,Diagnostic Technician,Heavy Equipment,Industrial Safety,Senior,10,Day,Contract,North India,Workshop,Active
TECH-0130,Maintenance Technician,Powertrain,Hydraulic Systems Level 2,Lead,19,Night,Permanent,West India,Field,Active
TECH-0131,Workshop Technician,General Maintenance,Industrial Safety,Lead,16,Evening,Permanent,North India,Field,On Rotation
TECH-0132,Workshop Technician,Heavy Equipment,OEM-Equivalent Service Training,Junior,1,Day,Contract,West India,Field,Active
TECH-0133,Senior Technician,Electrical,Hydraulic Systems Level 2,Intermediate,8,Night,Permanent,East India,Workshop,Active
TECH-0134,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Lead,17,Day,Permanent,South India,Workshop,On Rotation
TECH-0135,Workshop Technician,Hydraulics,Industrial Safety,Intermediate,4,Evening,Permanent,Central India,Field,Active
TECH-0136,Hydraulic Technician,Hydraulics,Industrial Safety,Intermediate,5,Evening,Contract,South India,Field,Active
TECH-0137,Workshop Technician,Electrical,Hydraulic Systems Level 1,Intermediate,5,Night,Permanent,East India,Field,On Rotation
TECH-0138,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Intermediate,7,Evening,Permanent,North India,Workshop,Active
TECH-0139,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Intermediate,4,Day,Permanent,North India,Field,Active
TECH-0140,Hydraulic Technician,Electrical,Hydraulic Systems Level 1,Lead,19,Night,Permanent,North India,Workshop,Active
TECH-0141,Diagnostic Technician,Powertrain,Heavy Equipment Maintenance,Senior,13,Night,Service Partner,East India,Field,On Rotation
TECH-0142,Field Service Technician,Hydraulics,OEM-Equivalent Service Training,Lead,16,Evening,Permanent,East India,Field,Active
TECH-0143,Senior Technician,General Maintenance,Fluid Power Technician,Lead,16,Day,Permanent,South India,Workshop,On Rotation
TECH-0144,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 1,Lead,16,Night,Permanent,South India,Field,Active
TECH-0145,Senior Technician,General Maintenance,Heavy Equipment Maintenance,Lead,17,Evening,Permanent,North India,Field,Active
TECH-0146,Hydraulic Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,5,Night,Permanent,South India,Field,On Rotation
TECH-0147,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 2,Senior,14,Night,Permanent,Central India,Field,On Rotation
TECH-0148,Workshop Technician,Electrical,Heavy Equipment Maintenance,Intermediate,6,Day,Permanent,West India,Field,On Rotation
TECH-0149,Maintenance Technician,Heavy Equipment,Industrial Safety,Junior,1,Day,Contract,North India,Field,On Rotation
TECH-0150,Diagnostic Technician,Hydraulics,Industrial Safety,Lead,15,Day,Permanent,West India,Field,On Rotation
TECH-0151,Hydraulic Technician,Heavy Equipment,Industrial Safety,Intermediate,5,Night,Permanent,South India,Workshop,Active
TECH-0152,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Intermediate,4,Day,Permanent,East India,Workshop,Active
TECH-0153,Senior Technician,Powertrain,Hydraulic Systems Level 1,Senior,11,Night,Permanent,North India,Workshop,Active
TECH-0154,Hydraulic Technician,Electrical,Hydraulic Systems Level 1,Junior,2,Night,Permanent,East India,Field,Active
TECH-0155,Hydraulic Technician,Heavy Equipment,Hydraulic Systems Level 2,Intermediate,4,Day,Contract,West India,Workshop,On Rotation
TECH-0156,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 1,Senior,13,Day,Permanent,South India,Field,On Rotation
TECH-0157,Hydraulic Technician,General Maintenance,OEM-Equivalent Service Training,Lead,19,Evening,Permanent,South India,Field,Active
TECH-0158,Workshop Technician,Hydraulics,Heavy Equipment Maintenance,Senior,9,Night,Service Partner,West India,Field,On Rotation
TECH-0159,Field Service Technician,General Maintenance,OEM-Equivalent Service Training,Senior,11,Day,Permanent,East India,Field,On Rotation
TECH-0160,Workshop Technician,General Maintenance,Hydraulic Systems Level 1,Junior,3,Night,Permanent,South India,Field,On Rotation
TECH-0161,Workshop Technician,General Maintenance,Hydraulic Systems Level 1,Lead,20,Night,Permanent,East India,Field,Active
TECH-0162,Senior Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,7,Evening,Permanent,Central India,Workshop,On Rotation
TECH-0163,Hydraulic Technician,Electrical,Hydraulic Systems Level 2,Lead,16,Night,Permanent,North India,Workshop,Active
TECH-0164,Diagnostic Technician,Electrical,Industrial Safety,Senior,10,Night,Service Partner,West India,Field,Active
TECH-0165,Maintenance Technician,General Maintenance,Hydraulic Systems Level 2,Senior,14,Day,Permanent,North India,Field,On Rotation
TECH-0166,Workshop Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,11,Night,Service Partner,North India,Workshop,Active
TECH-0167,Maintenance Technician,Powertrain,Hydraulic Systems Level 2,Intermediate,5,Evening,Contract,Central India,Field,Active
TECH-0168,Workshop Technician,Heavy Equipment,OEM-Equivalent Service Training,Lead,19,Evening,Permanent,East India,Workshop,Active
TECH-0169,Field Service Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,16,Night,Permanent,West India,Field,Active
TECH-0170,Diagnostic Technician,Electrical,Industrial Safety,Senior,11,Night,Permanent,East India,Workshop,Active
TECH-0171,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Lead,16,Day,Service Partner,East India,Field,Active
TECH-0172,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 1,Intermediate,8,Evening,Permanent,South India,Field,Active
TECH-0173,Diagnostic Technician,Electrical,Hydraulic Systems Level 1,Junior,1,Evening,Permanent,South India,Workshop,Active
TECH-0174,Diagnostic Technician,General Maintenance,Industrial Safety,Intermediate,4,Day,Permanent,West India,Field,Active
TECH-0175,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Intermediate,4,Night,Permanent,South India,Workshop,Active
TECH-0176,Senior Technician,Electrical,Hydraulic Systems Level 1,Lead,15,Evening,Service Partner,West India,Field,Active
TECH-0177,Workshop Technician,Heavy Equipment,Industrial Safety,Lead,19,Evening,Permanent,South India,Workshop,Active
TECH-0178,Hydraulic Technician,Hydraulics,Industrial Safety,Lead,16,Day,Contract,North India,Field,Active
TECH-0179,Diagnostic Technician,Hydraulics,Fluid Power Technician,Senior,13,Night,Permanent,North India,Field,Active
TECH-0180,Diagnostic Technician,Hydraulics,Fluid Power Technician,Senior,14,Evening,Permanent,West India,Field,Active
TECH-0181,Senior Technician,Powertrain,Fluid Power Technician,Senior,9,Day,Contract,North India,Field,Active
TECH-0182,Field Service Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,13,Evening,Permanent,Central India,Field,Active
TECH-0183,Workshop Technician,Hydraulics,Fluid Power Technician,Lead,17,Night,Permanent,South India,Field,On Rotation
TECH-0184,Maintenance Technician,Powertrain,Industrial Safety,Senior,11,Night,Permanent,Central India,Field,Active
TECH-0185,Workshop Technician,Hydraulics,Heavy Equipment Maintenance,Lead,20,Evening,Permanent,East India,Field,On Rotation
TECH-0186,Maintenance Technician,General Maintenance,OEM-Equivalent Service Training,Senior,12,Evening,Permanent,East India,Field,Active
TECH-0187,Field Service Technician,Heavy Equipment,Heavy Equipment Maintenance,Senior,12,Night,Contract,North India,Field,Active
TECH-0188,Field Service Technician,General Maintenance,Fluid Power Technician,Lead,20,Day,Permanent,South India,Field,Active
TECH-0189,Maintenance Technician,Electrical,Hydraulic Systems Level 1,Intermediate,7,Day,Service Partner,Central India,Workshop,Active
TECH-0190,Diagnostic Technician,General Maintenance,Industrial Safety,Senior,10,Day,Permanent,West India,Field,Active
TECH-0191,Senior Technician,General Maintenance,Hydraulic Systems Level 1,Senior,13,Night,Permanent,West India,Workshop,Active
TECH-0192,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,9,Evening,Contract,West India,Field,Active
TECH-0193,Diagnostic Technician,General Maintenance,Fluid Power Technician,Intermediate,5,Night,Contract,Central India,Field,Active
TECH-0194,Senior Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,13,Evening,Permanent,East India,Workshop,Active
TECH-0195,Maintenance Technician,Hydraulics,OEM-Equivalent Service Training,Lead,17,Day,Permanent,East India,Field,On Rotation
TECH-0196,Hydraulic Technician,Electrical,Fluid Power Technician,Junior,2,Evening,Permanent,Central India,Field,Active
TECH-0197,Senior Technician,Hydraulics,Industrial Safety,Intermediate,6,Day,Permanent,Central India,Field,Active
TECH-0198,Diagnostic Technician,Hydraulics,OEM-Equivalent Service Training,Junior,1,Evening,Permanent,North India,Field,Active
TECH-0199,Workshop Technician,General Maintenance,Hydraulic Systems Level 1,Senior,10,Day,Permanent,East India,Field,On Rotation
TECH-0200,Field Service Technician,Hydraulics,Industrial Safety,Senior,14,Evening,Contract,South India,Workshop,Active
TECH-0201,Maintenance Technician,Hydraulics,Fluid Power Technician,Lead,18,Evening,Permanent,North India,Field,Active
TECH-0202,Maintenance Technician,Powertrain,Heavy Equipment Maintenance,Junior,3,Day,Permanent,East India,Field,Active
TECH-0203,Workshop Technician,Electrical,Hydraulic Systems Level 2,Senior,13,Night,Permanent,Central India,Field,Active
TECH-0204,Hydraulic Technician,Hydraulics,Fluid Power Technician,Senior,14,Day,Permanent,South India,Field,Active
TECH-0205,Workshop Technician,General Maintenance,Heavy Equipment Maintenance,Junior,3,Day,Service Partner,East India,Workshop,Active
TECH-0206,Diagnostic Technician,Hydraulics,Fluid Power Technician,Senior,11,Night,Service Partner,South India,Workshop,On Rotation
TECH-0207,Senior Technician,Hydraulics,Hydraulic Systems Level 1,Intermediate,4,Night,Permanent,Central India,Field,Active
TECH-0208,Senior Technician,Hydraulics,OEM-Equivalent Service Training,Senior,13,Night,Permanent,North India,Workshop,Active
TECH-0209,Maintenance Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,11,Day,Service Partner,South India,Field,Active
TECH-0210,Hydraulic Technician,Hydraulics,Industrial Safety,Lead,20,Evening,Service Partner,East India,Field,Active
TECH-0211,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 2,Lead,19,Night,Permanent,East India,Workshop,Active
TECH-0212,Hydraulic Technician,Powertrain,OEM-Equivalent Service Training,Junior,3,Night,Permanent,East India,Field,Active
TECH-0213,Maintenance Technician,Hydraulics,Heavy Equipment Maintenance,Lead,18,Evening,Contract,South India,Field,Active
TECH-0214,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 2,Junior,1,Night,Permanent,Central India,Field,On Rotation
TECH-0215,Field Service Technician,General Maintenance,Industrial Safety,Intermediate,4,Evening,Permanent,West India,Field,Active
TECH-0216,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Junior,3,Day,Permanent,North India,Field,Active
TECH-0217,Hydraulic Technician,Hydraulics,Industrial Safety,Intermediate,6,Evening,Permanent,West India,Field,Active
TECH-0218,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Senior,9,Evening,Permanent,North India,Field,On Rotation
TECH-0219,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,17,Day,Permanent,North India,Field,Active
TECH-0220,Field Service Technician,Electrical,Fluid Power Technician,Lead,15,Night,Permanent,Central India,Workshop,Active
TECH-0221,Hydraulic Technician,Electrical,OEM-Equivalent Service Training,Lead,19,Evening,Service Partner,Central India,Field,On Rotation
TECH-0222,Maintenance Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,8,Day,Permanent,South India,Field,On Rotation
TECH-0223,Maintenance Technician,General Maintenance,OEM-Equivalent Service Training,Junior,2,Day,Permanent,South India,Field,On Rotation
TECH-0224,Field Service Technician,Hydraulics,Industrial Safety,Junior,1,Night,Permanent,North India,Field,Active
TECH-0225,Maintenance Technician,General Maintenance,Industrial Safety,Senior,11,Evening,Service Partner,Central India,Field,Active
TECH-0226,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,15,Day,Service Partner,Central India,Field,Active
TECH-0227,Diagnostic Technician,Hydraulics,Industrial Safety,Lead,19,Day,Permanent,East India,Field,Active
TECH-0228,Workshop Technician,Hydraulics,OEM-Equivalent Service Training,Lead,15,Night,Permanent,East India,Field,Active
