case_id,machine_id,component,failure,symptoms,resolution
CASE-0036,MC-012,Main Control Valve,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0037,MC-020,Main Control Valve,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0038,MC-019,Oil Cooler,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0039,MC-007,Hydraulic Filter,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0040,EXC-008,Hydraulic Line,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0041,MC-019,Bucket Cylinder,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0042,MC-020,Bucket Cylinder,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0043,EXC-002,Travel Motor,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0044,MC-012,Bucket Cylinder,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0045,MC-015,Main Control Valve,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0046,EXC-007,Hydraulic Oil,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0047,EXC-007,Travel Motor,Air ingress,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0048,MC-003,Hydraulic Pump,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0049,EXC-004,Hydraulic Pump,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0050,EXC-006,Pilot System,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0051,EXC-003,Pilot System,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0052,EXC-003,Hydraulic Line,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0053,MC-008,Accumulator,Air ingress,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0054,EXC-007,Hydraulic Line,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0055,EXC-004,Boom Cylinder,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0056,MC-019,Oil Cooler,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0057,MC-013,Hydraulic Filter,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0058,MC-012,Travel Motor,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0059,EXC-008,Travel Motor,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0060,EXC-005,Arm Cylinder,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0061,MC-003,Arm Cylinder,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0062,EXC-004,Bucket Cylinder,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0063,EXC-008,Accumulator,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0064,MC-018,Accumulator,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0065,MC-001,Oil Cooler,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0066,EXC-003,Hydraulic Line,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0067,MC-009,Arm Cylinder,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0068,MC-001,Hydraulic Oil,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0069,MC-020,Arm Cylinder,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0070,EXC-005,Oil Cooler,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0071,MC-004,Hydraulic Filter,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0072,MC-006,Hydraulic Line,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0073,EXC-005,Boom Cylinder,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0074,MC-002,Swing Motor,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0075,MC-011,Hydraulic Pump,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0076,MC-020,Boom Cylinder,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0077,MC-009,Pilot System,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0078,MC-019,Swing Motor,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0079,MC-004,Main Control Valve,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0080,MC-013,Hydraulic Pump,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0081,MC-014,Hydraulic Oil,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Cleaned spool valve linkage and replaced valve seals
CASE-0082,EXC-006,Main Control Valve,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0083,MC-004,Hydraulic Pump,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0084,MC-020,Arm Cylinder,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0085,MC-008,Travel Motor,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0086,MC-006,Boom Cylinder,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0087,MC-008,Bucket Cylinder,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0088,EXC-002,Main Control Valve,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0089,MC-011,Accumulator,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0090,MC-017,Boom Cylinder,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0091,EXC-002,Main Control Valve,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0092,MC-007,Arm Cylinder,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0093,MC-012,Oil Cooler,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0094,MC-014,Oil Cooler,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0095,EXC-004,Bucket Cylinder,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0096,MC-007,Arm Cylinder,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0097,EXC-008,Pilot System,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0098,MC-008,Pilot System,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0099,MC-001,Accumulator,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0100,MC-008,Pilot System,Air ingress,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0101,MC-012,Bucket Cylinder,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0102,MC-007,Boom Cylinder,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0103,MC-002,Arm Cylinder,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0104,EXC-003,Main Control Valve,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0105,MC-002,Hydraulic Pump,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0106,MC-012,Bucket Cylinder,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0107,EXC-001,Hydraulic Line,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0108,MC-016,Hydraulic Oil,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0109,EXC-008,Bucket Cylinder,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0110,EXC-007,Accumulator,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0111,MC-019,Bucket Cylinder,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0112,EXC-005,Hydraulic Pump,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0113,MC-020,Arm Cylinder,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0114,MC-002,Arm Cylinder,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0115,MC-012,Arm Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0116,MC-004,Hydraulic Oil,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0117,MC-006,Swing Motor,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0118,MC-004,Hydraulic Oil,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0119,EXC-008,Oil Cooler,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0120,MC-010,Hydraulic Filter,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0121,MC-010,Main Control Valve,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0122,EXC-008,Bucket Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0123,MC-019,Pilot System,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0124,EXC-008,Bucket Cylinder,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0125,EXC-008,Pilot System,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0126,EXC-001,Hydraulic Filter,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0127,MC-014,Hydraulic Line,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0128,MC-017,Oil Cooler,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0129,EXC-008,Arm Cylinder,Line restriction,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0130,EXC-001,Accumulator,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0131,MC-011,Swing Motor,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0132,MC-016,Oil Cooler,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0133,EXC-005,Accumulator,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0134,MC-003,Hydraulic Oil,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0135,EXC-004,Hydraulic Pump,Air ingress,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0136,EXC-009,Bucket Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0137,MC-008,Hydraulic Oil,Line restriction,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0138,MC-002,Boom Cylinder,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0139,EXC-003,Hydraulic Oil,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0140,MC-003,Hydraulic Oil,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0141,MC-019,Hydraulic Oil,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0142,MC-020,Bucket Cylinder,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0143,MC-019,Pilot System,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0144,MC-015,Hydraulic Line,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0145,EXC-004,Oil Cooler,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0146,MC-019,Travel Motor,Valve spool binding,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0147,EXC-002,Hydraulic Line,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0148,MC-017,Bucket Cylinder,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0149,MC-011,Bucket Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0150,MC-019,Main Control Valve,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0151,MC-017,Pilot System,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0152,EXC-003,Swing Motor,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0153,MC-007,Pilot System,Line restriction,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0154,MC-004,Accumulator,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0155,MC-003,Accumulator,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0156,EXC-003,Hydraulic Oil,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0157,EXC-002,Pilot System,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0158,MC-008,Hydraulic Line,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0159,MC-006,Bucket Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0160,MC-007,Hydraulic Oil,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0161,MC-015,Oil Cooler,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0162,MC-010,Swing Motor,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0163,EXC-006,Arm Cylinder,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0164,MC-008,Boom Cylinder,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0165,MC-015,Hydraulic Line,Cooler restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0166,MC-010,Boom Cylinder,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0167,EXC-006,Oil Cooler,Line restriction,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0168,EXC-002,Arm Cylinder,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0169,EXC-009,Pilot System,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0170,MC-014,Bucket Cylinder,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0171,EXC-005,Hydraulic Filter,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0172,MC-004,Pilot System,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0173,EXC-005,Boom Cylinder,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0174,MC-017,Accumulator,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0175,MC-006,Travel Motor,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0176,MC-010,Travel Motor,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0177,EXC-003,Accumulator,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0178,MC-004,Pilot System,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0179,MC-002,Swing Motor,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0180,MC-005,Hydraulic Filter,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0181,MC-015,Travel Motor,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0182,MC-010,Travel Motor,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0183,MC-001,Pilot System,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0184,MC-009,Bucket Cylinder,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
