service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00011,MR-00011,EQ-0101,TECH-0501,2026-01-31,Corrective,Night,8442,Engine Cooling System: Internal leakage; observed symptom: hydraulic oil appears contaminated.,Filter inspection and fluid condition check,sticking spool valve,checked pump output and inspected for internal leakage,Accumulator charging kit,Leak test passed,12.98,1.53,71639.36,2026-07-23,Closed,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00012,MR-00012,EQ-0151,TECH-0475,2022-09-20,Corrective,Night,16237,Pilot Valve: Overheating; observed symptom: boom movement slow under load.,Visual inspection and pressure test,air entering suction line,replaced damaged seal kit and performed leak test,Hydraulic hose,Leak test passed,15.2,7.25,47975.72,2023-02-05,Closed - Monitor,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00013,MR-00013,EQ-0065,TECH-0746,2024-08-31,Preventive,Day,14155,Travel Motor: Accumulator pressure loss; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,degraded hydraulic fluid,replaced damaged hose and pressure-tested the circuit,Pump seal kit,Operational test passed,12.18,4.12,33360.52,2025-02-03,Closed - Monitor,"Technician checked Travel Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00014,MR-00014,EQ-0181,TECH-0587,2022-10-15,Corrective,Evening,2620,Hydraulic Filter: Valve sticking; observed symptom: pilot pressure below expected range.,Visual inspection and pressure test,low pilot supply pressure,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,Operational test passed,4.43,9.14,41303.85,2023-05-08,Closed - Monitor,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00015,MR-00015,EQ-0212,TECH-0564,2023-05-10,Corrective,Day,8189,Accumulator: External leakage; observed symptom: hydraulic oil appears contaminated.,Filter inspection and fluid condition check,contaminated hydraulic oil,replaced restricted hydraulic filter and checked contamination source,Accumulator charging kit,Operational test passed,12.55,1.0,57912.1,2023-12-03,Closed,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00016,MR-00016,EQ-0233,TECH-0885,2023-05-05,Preventive,Day,6664,Accumulator: Valve sticking; observed symptom: filter restriction indicator activated.,Pressure and flow measurement,worn pump components,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Leak test passed,3.43,6.73,27496.82,2023-08-07,Closed,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00017,MR-00017,EQ-0126,TECH-0598,2023-05-16,Corrective,Day,2253,Swing Motor: Hose failure; observed symptom: swing movement is slow.,Operational test under load,air entering suction line,checked accumulator pre-charge and restored it to service specification,Pump seal kit,Leak test passed,13.27,6.51,63146.24,2023-06-22,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00018,MR-00018,EQ-0066,TECH-0997,2022-04-03,Corrective,Night,2995,Pilot Valve: Overheating; observed symptom: visible oil leak near hydraulic line.,Filter inspection and fluid condition check,restricted return filter,replaced damaged hose and pressure-tested the circuit,Hydraulic line fittings,Pressure test passed,14.58,4.11,66303.64,2022-06-18,Closed - Monitor,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00019,MR-00019,EQ-0125,TECH-0743,2025-06-27,Corrective,Day,15353,Hydraulic Filter: Air ingress; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,high oil temperature,inspected valve spool movement and cleaned the valve assembly,Cooler gasket set,Pressure test passed,1.57,4.54,35120.63,2025-11-10,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00020,MR-00020,EQ-0173,TECH-0823,2022-02-15,Preventive,Day,15278,Engine Cooling System: Cooler restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,low pilot supply pressure,inspected hydraulic circuit and isolated the affected component,Pilot filter,Functional test passed,8.11,10.16,23195.27,2022-05-16,Closed,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00021,MR-00021,EQ-0065,TECH-0210,2023-03-21,Corrective,Evening,17274,Hydraulic Cooler: External leakage; observed symptom: pilot pressure below expected range.,Operational test under load,restricted return filter,inspected valve spool movement and cleaned the valve assembly,Cooler gasket set,Functional test passed,10.82,2.74,12045.11,2023-10-13,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00022,MR-00022,EQ-0092,TECH-0417,2023-01-12,Corrective,Day,3045,Hydraulic Hose: Cooler restriction; observed symptom: reduced digging force.,Operational test under load,degraded hydraulic fluid,inspected suction line for air ingress and corrected the connection,Hydraulic oil,Functional test passed,13.82,3.81,47833.25,2023-04-20,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00023,MR-00023,EQ-0035,TECH-0062,2022-01-26,Condition-Based,Evening,12911,Hydraulic Filter: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,internal cylinder leakage,checked accumulator pre-charge and restored it to service specification,Accumulator charging kit,Pressure test passed,4.06,4.78,54828.45,2022-05-17,Follow-up Required,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00024,MR-00024,EQ-0028,TECH-0760,2022-12-20,Preventive,Evening,5356,Swing Motor: Low pilot pressure; observed symptom: travel function loses power on incline.,Leak inspection and functional test,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",No replacement part,Operational test passed,3.51,6.56,34078.47,2023-03-08,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00025,MR-00025,EQ-0009,TECH-0264,2025-10-05,Corrective,Night,11350,Hydraulic Tank: Cooler restriction; observed symptom: reduced digging force.,Leak inspection and functional test,sticking spool valve,inspected hydraulic circuit and isolated the affected component,Hydraulic hose,Leak test passed,1.7,3.81,4383.79,2025-12-02,Follow-up Required,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00026,MR-00026,EQ-0036,TECH-0564,2025-10-03,Condition-Based,Day,16604,Hydraulic Tank: Pump wear; observed symptom: filter restriction indicator activated.,Pressure and flow measurement,worn pump components,inspected valve spool movement and cleaned the valve assembly,Hydraulic line fittings,Pressure test passed,10.69,5.58,11890.79,2025-12-13,Follow-up Required,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00027,MR-00027,EQ-0211,TECH-0318,2026-05-12,Corrective,Evening,8853,Swing Motor: Valve sticking; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,internal cylinder leakage,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Operational test passed,5.47,2.34,12126.99,2026-11-02,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00028,MR-00028,EQ-0102,TECH-0249,2025-05-15,Corrective,Night,6924,Swing Motor: Valve sticking; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,internal cylinder leakage,checked accumulator pre-charge and restored it to service specification,Pilot filter,Operational test passed,9.27,8.83,72609.46,2025-09-30,Closed - Monitor,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00029,MR-00029,EQ-0208,TECH-0955,2023-12-25,Corrective,Night,17359,Hydraulic Cooler: Restricted flow; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,restricted return filter,inspected suction line for air ingress and corrected the connection,Cooler gasket set,Pressure test passed,7.12,0.86,18469.86,2024-02-25,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00030,MR-00030,EQ-0131,TECH-0189,2022-07-16,Condition-Based,Day,9257,Accumulator: Accumulator pressure loss; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,damaged cylinder seal,inspected hydraulic circuit and isolated the affected component,Pump seal kit,Pressure test passed,7.41,6.62,26852.42,2022-09-30,Closed,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00031,MR-00031,EQ-0073,TECH-0163,2023-10-24,Preventive,Night,17764,Hydraulic Tank: Cylinder seal wear; observed symptom: hydraulic oil temperature rises during continuous operation.,Leak inspection and functional test,low pilot supply pressure,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Test passed; monitor during next shift,2.74,4.87,48278.24,2024-01-24,Follow-up Required,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00032,MR-00032,EQ-0002,TECH-0876,2022-03-10,Corrective,Evening,18152,Hydraulic Tank: Overheating; observed symptom: hydraulic response is jerky.,Operational test under load,restricted hydraulic line,inspected valve spool movement and cleaned the valve assembly,Hydraulic filter,Operational test passed,10.8,0.86,58331.48,2022-08-28,Closed,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00033,MR-00033,EQ-0046,TECH-0196,2025-04-14,Corrective,Evening,2249,Main Control Valve: Low pilot pressure; observed symptom: hydraulic response is jerky.,Pressure and flow measurement,restricted return filter,checked pressure and flow at operating temperature,Pilot filter,Operational test passed,5.62,6.06,67898.88,2025-09-29,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00034,MR-00034,EQ-0090,TECH-0586,2024-03-30,Inspection,Night,9531,Swing Motor: Overheating; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,low pilot supply pressure,replaced damaged hose and pressure-tested the circuit,Hydraulic line fittings,Operational test passed,13.26,7.31,77711.76,2024-09-02,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00035,MR-00035,EQ-0148,TECH-0535,2023-06-22,Corrective,Evening,16964,Hydraulic Hose: Cooler restriction; observed symptom: reduced digging force.,Visual inspection and pressure test,internal cylinder leakage,cleaned cooler and verified hydraulic oil temperature,Cooler gasket set,Operational test passed,11.6,7.62,68912.57,2023-08-28,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00036,MR-00036,EQ-0135,TECH-0970,2023-09-01,Condition-Based,Day,16815,Pilot Valve: Filter blockage; observed symptom: visible oil leak near hydraulic line.,Leak inspection and functional test,blocked cooler core,checked accumulator pre-charge and restored it to service specification,Accumulator charging kit,Operational test passed,11.58,4.36,35661.49,2023-11-13,Closed,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00037,MR-00037,EQ-0013,TECH-0086,2026-05-17,Condition-Based,Day,11390,Hydraulic Line: Restricted flow; observed symptom: swing movement is slow.,Filter inspection and fluid condition check,damaged cylinder seal,checked pressure and flow at operating temperature,Return filter element,Operational test passed,3.61,8.0,20930.52,2026-09-20,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00038,MR-00038,EQ-0237,TECH-0033,2024-02-15,Preventive,Night,7490,Boom Cylinder: Cylinder seal wear; observed symptom: hydraulic oil appears contaminated.,Pressure and flow measurement,blocked cooler core,replaced damaged hose and pressure-tested the circuit,Hydraulic hose,Pressure test passed,7.65,2.19,55230.64,2024-06-19,Closed,"Technician checked Boom Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00039,MR-00039,EQ-0030,TECH-0403,2022-02-09,Condition-Based,Night,7261,Hydraulic Line: Cylinder seal wear; observed symptom: reduced digging force.,Leak inspection and functional test,sticking spool valve,replaced damaged hose and pressure-tested the circuit,Hydraulic hose,Functional test passed,1.47,7.23,27087.68,2022-06-16,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00040,MR-00040,EQ-0233,TECH-0142,2026-02-14,Corrective,Evening,17346,Main Control Valve: Cylinder seal wear; observed symptom: hydraulic response is jerky.,Leak inspection and functional test,restricted hydraulic line,replaced damaged seal kit and performed leak test,Hydraulic filter,Pressure test passed,10.55,0.75,19521.68,2026-08-25,Closed - Monitor,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00041,MR-00041,EQ-0058,TECH-0055,2023-06-27,Corrective,Day,2415,Pilot Valve: Filter blockage; observed symptom: filter restriction indicator activated.,Temperature and pressure checks,low pilot supply pressure,inspected hydraulic circuit and isolated the affected component,Pump seal kit,Pressure test passed,3.15,9.13,39819.85,2023-12-22,Closed,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00042,MR-00042,EQ-0034,TECH-0333,2026-03-06,Inspection,Night,17758,Accumulator: Hose failure; observed symptom: pilot pressure below expected range.,Operational test under load,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Accumulator charging kit,Leak test passed,12.7,2.91,68330.95,2026-05-05,Closed - Monitor,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00043,MR-00043,EQ-0072,TECH-0549,2024-07-13,Corrective,Day,8128,Accumulator: Restricted flow; observed symptom: boom movement slow under load.,Visual inspection and pressure test,damaged cylinder seal,inspected suction line for air ingress and corrected the connection,Return filter element,Leak test passed,15.16,2.06,22342.21,2024-12-29,Closed,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00044,MR-00044,EQ-0009,TECH-0912,2025-06-09,Condition-Based,Evening,12643,Main Control Valve: Low pilot pressure; observed symptom: boom movement slow under load.,Temperature and pressure checks,damaged cylinder seal,replaced damaged seal kit and performed leak test,Hydraulic hose,Leak test passed,16.0,4.87,44777.51,2025-09-04,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00045,MR-00045,EQ-0195,TECH-0014,2023-05-18,Corrective,Night,3389,Hydraulic Pump: Overheating; observed symptom: swing movement is slow.,Leak inspection and functional test,restricted hydraulic line,checked accumulator pre-charge and restored it to service specification,Cooler gasket set,Pressure test passed,9.82,5.64,60046.41,2023-10-22,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00046,MR-00046,EQ-0024,TECH-0530,2025-06-26,Corrective,Day,6969,Bucket Cylinder: External leakage; observed symptom: reduced digging force.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Functional test passed,14.92,1.59,55765.65,2025-11-10,Closed,"Technician checked Bucket Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00047,MR-00047,EQ-0240,TECH-0090,2025-12-22,Condition-Based,Night,4373,Hydraulic Cooler: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Leak inspection and functional test,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,No replacement part,Leak test passed,1.49,5.76,42775.07,2026-03-23,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00048,MR-00048,EQ-0058,TECH-0268,2024-07-04,Preventive,Day,7729,Hydraulic Filter: External leakage; observed symptom: visible oil leak near hydraulic line.,Leak inspection and functional test,air entering suction line,inspected suction line for air ingress and corrected the connection,Hydraulic oil,Functional test passed,8.1,7.96,10913.33,2024-11-28,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00049,MR-00049,EQ-0003,TECH-0181,2025-10-18,Inspection,Day,8268,Fuel System: Air ingress; observed symptom: reduced digging force.,Filter inspection and fluid condition check,restricted hydraulic line,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,Pressure test passed,8.7,1.93,24163.82,2026-02-20,Closed,"Technician checked Fuel System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00050,MR-00050,EQ-0220,TECH-0169,2023-03-26,Corrective,Night,4923,Swing Motor: Oil contamination; observed symptom: reduced digging force.,Operational test under load,worn pump components,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Pressure test passed,16.0,4.93,23577.36,2023-10-12,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00051,MR-00051,EQ-0131,TECH-0662,2026-07-31,Corrective,Night,14083,Hydraulic Cooler: Internal leakage; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,low pilot supply pressure,inspected valve spool movement and cleaned the valve assembly,Accumulator charging kit,Pressure test passed,15.46,8.89,53220.71,2027-01-03,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00052,MR-00052,EQ-0015,TECH-0478,2025-02-17,Corrective,Night,10836,Hydraulic Line: Air ingress; observed symptom: pilot pressure below expected range.,Temperature and pressure checks,worn pump components,checked accumulator pre-charge and restored it to service specification,Valve O-rings,Operational test passed,7.8,3.05,16983.51,2025-05-21,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00053,MR-00053,EQ-0217,TECH-0173,2025-05-27,Corrective,Evening,10275,Hydraulic Line: External leakage; observed symptom: swing movement is slow.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged seal kit and performed leak test,Pump seal kit,Pressure test passed,13.3,4.67,31593.01,2025-08-03,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00054,MR-00054,EQ-0235,TECH-0904,2022-07-11,Corrective,Day,12964,Main Control Valve: Cooler restriction; observed symptom: pilot pressure below expected range.,Filter inspection and fluid condition check,contaminated hydraulic oil,inspected hydraulic circuit and isolated the affected component,Hydraulic oil,Test passed; monitor during next shift,4.12,6.44,62424.67,2022-10-02,Closed - Monitor,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00055,MR-00055,EQ-0212,TECH-0915,2026-05-13,Corrective,Evening,12385,Boom Cylinder: Filter blockage; observed symptom: arm movement slow after hydraulic oil warms.,Leak inspection and functional test,damaged cylinder seal,inspected hydraulic circuit and isolated the affected component,Valve O-rings,Functional test passed,14.57,7.77,57811.24,2026-07-20,Follow-up Required,"Technician checked Boom Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00056,MR-00056,EQ-0003,TECH-0537,2023-09-16,Corrective,Evening,16832,Fuel System: Cylinder seal wear; observed symptom: boom movement slow under load.,Pressure and flow measurement,air entering suction line,inspected hydraulic circuit and isolated the affected component,Hydraulic line fittings,Leak test passed,9.21,4.55,19588.96,2024-03-06,Closed,"Technician checked Fuel System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00057,MR-00057,EQ-0150,TECH-0906,2024-06-04,Condition-Based,Evening,8554,Fuel System: Accumulator pressure loss; observed symptom: boom movement slow under load.,Operational test under load,internal cylinder leakage,replaced damaged seal kit and performed leak test,Cooler gasket set,Functional test passed,9.9,0.25,71747.81,2024-09-20,Closed,"Technician checked Fuel System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00058,MR-00058,EQ-0237,TECH-0140,2025-07-30,Preventive,Night,6415,Boom Cylinder: Oil contamination; observed symptom: reduced digging force.,Filter inspection and fluid condition check,air entering suction line,checked accumulator pre-charge and restored it to service specification,Valve O-rings,Pressure test passed,13.09,2.34,56583.52,2025-11-09,Closed,"Technician checked Boom Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00059,MR-00059,EQ-0110,TECH-0107,2026-06-14,Condition-Based,Night,15799,Accumulator: Restricted flow; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,blocked cooler core,cleaned cooler and verified hydraulic oil temperature,Hydraulic filter,Operational test passed,8.51,7.77,64671.56,2026-11-18,Closed - Monitor,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00060,MR-00060,EQ-0120,TECH-0553,2026-04-05,Corrective,Day,3200,Hydraulic Tank: Cooler restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,damaged cylinder seal,inspected hydraulic circuit and isolated the affected component,Accumulator charging kit,Pressure test passed,1.72,4.04,22170.41,2026-06-19,Closed,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00061,MR-00061,EQ-0235,TECH-0041,2024-01-14,Inspection,Day,8859,Hydraulic Cooler: Low pilot pressure; observed symptom: bucket will not open normally.,Temperature and pressure checks,air entering suction line,replaced damaged seal kit and performed leak test,Hydraulic line fittings,Leak test passed,15.87,6.41,69429.0,2024-07-05,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00062,MR-00062,EQ-0089,TECH-0638,2026-05-10,Corrective,Evening,6302,Hydraulic Hose: Cooler restriction; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,contaminated hydraulic oil,replaced damaged seal kit and performed leak test,Hydraulic line fittings,Leak test passed,15.45,3.89,80202.89,2026-07-26,Closed - Monitor,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00063,MR-00063,EQ-0191,TECH-0024,2022-03-18,Corrective,Night,8877,Hydraulic Line: Accumulator pressure loss; observed symptom: swing movement is slow.,Temperature and pressure checks,damaged hydraulic hose,cleaned cooler and verified hydraulic oil temperature,Accumulator charging kit,Pressure test passed,6.98,2.32,21867.25,2022-08-15,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00064,MR-00064,EQ-0027,TECH-0960,2024-12-27,Corrective,Night,12881,Arm Cylinder: Internal leakage; observed symptom: pilot pressure below expected range.,Pressure and flow measurement,degraded hydraulic fluid,inspected valve spool movement and cleaned the valve assembly,Return filter element,Pressure test passed,6.44,5.63,34423.73,2025-04-19,Closed,"Technician checked Arm Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00065,MR-00065,EQ-0183,TECH-0046,2024-08-22,Corrective,Night,2748,Hydraulic Pump: Hose failure; observed symptom: bucket will not open normally.,Filter inspection and fluid condition check,internal cylinder leakage,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic line fittings,Pressure test passed,6.84,13.85,29158.55,2025-03-06,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00066,MR-00066,EQ-0037,TECH-0853,2025-10-31,Corrective,Evening,6045,Hydraulic Cooler: Restricted flow; observed symptom: hydraulic oil temperature rises during continuous operation.,Pressure and flow measurement,restricted hydraulic line,replaced damaged seal kit and performed leak test,Hydraulic filter,Operational test passed,7.47,4.9,37084.5,2025-12-16,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00067,MR-00067,EQ-0001,TECH-0542,2022-11-28,Condition-Based,Evening,15973,Travel Motor: Cylinder seal wear; observed symptom: boom movement slow under load.,Filter inspection and fluid condition check,sticking spool valve,inspected valve spool movement and cleaned the valve assembly,Hydraulic line fittings,Test passed; monitor during next shift,7.22,5.3,11208.87,2023-03-19,Closed - Monitor,"Technician checked Travel Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
