service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00022,MR-00022,EQ-0121,TECH-0605,2024-05-15,Corrective,Night,9318,Hydraulic Pump: Cylinder seal wear; observed symptom: travel function loses power on incline.,Operational test under load,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Operational test passed,4.67,4.93,17221.53,2024-11-15,Closed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00023,MR-00023,EQ-0130,TECH-0571,2024-05-15,Preventive,Evening,9031,Bucket Cylinder: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,high oil temperature,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Leak test passed,2.38,4.83,29202.24,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00024,MR-00024,EQ-0163,TECH-0774,2024-05-15,Inspection,Day,1841,Pilot System: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Functional test passed,12.22,2.41,58664.21,2024-11-15,Completed - Monitor,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00025,MR-00025,EQ-0124,TECH-0451,2024-05-15,Corrective,Evening,12797,Hydraulic Pump: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,blocked cooler core,tested pilot pressure and inspected pilot circuit,Pump seal kit,Pressure test passed,10.23,3.28,15986.03,2024-11-15,Completed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00026,MR-00026,EQ-0235,TECH-0327,2024-05-15,Corrective,Day,18473,Pilot System: Cooler restriction; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,high oil temperature,inspected hydraulic circuit and isolated affected component,Return filter element,Leak test passed,9.42,1.83,27736.83,2024-11-15,Completed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00027,MR-00027,EQ-0123,TECH-0663,2024-05-15,Preventive,Evening,7130,Hydraulic Oil: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Functional test passed,8.13,6.56,32585.52,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00028,MR-00028,EQ-0183,TECH-0458,2024-05-15,Preventive,Night,14500,Oil Cooler: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Pressure test passed,3.83,11.58,46859.23,2024-11-15,Closed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00029,MR-00029,EQ-0160,TECH-0549,2024-05-15,Condition-Based,Day,15219,Hydraulic Pump: Accumulator pressure loss; observed symptom: pump noise increases during operation.,Temperature and pressure checks,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Pressure test passed,11.05,1.6,51102.7,2024-11-15,Closed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00030,MR-00030,EQ-0234,TECH-0306,2024-05-15,Condition-Based,Night,7851,Hydraulic Filter: Pilot pressure drop; observed symptom: travel function loses power on incline.,Temperature and pressure checks,high oil temperature,tested pilot pressure and inspected pilot circuit,Pump seal kit,Leak test passed,1.16,0.84,46448.93,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00031,MR-00031,EQ-0240,TECH-0244,2024-05-15,Inspection,Day,15852,Hydraulic Line: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Functional test passed,14.3,4.69,53701.53,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00032,MR-00032,EQ-0164,TECH-0851,2024-05-15,Condition-Based,Evening,3651,Main Control Valve: Internal pump leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Cooler gasket set,Operational test passed,13.45,7.99,39946.49,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00033,MR-00033,EQ-0147,TECH-0349,2024-05-15,Preventive,Evening,11357,Swing Motor: Air ingress; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,blocked cooler core,tested pilot pressure and inspected pilot circuit,Pump seal kit,Operational test passed,14.04,7.52,46493.28,2024-11-15,Follow-up Required,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00034,MR-00034,EQ-0224,TECH-0455,2024-05-15,Preventive,Day,12089,Hydraulic Pump: Oil contamination; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Operational test passed,15.83,11.25,49160.07,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00035,MR-00035,EQ-0127,TECH-0992,2024-05-15,Inspection,Evening,3750,Accumulator: Line restriction; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Functional test passed,7.05,6.83,46612.24,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00036,MR-00036,EQ-0188,TECH-0786,2024-05-15,Condition-Based,Day,5179,Hydraulic Line: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Leak test passed,5.89,9.96,52730.42,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00037,MR-00037,EQ-0161,TECH-0273,2024-05-15,Inspection,Night,8247,Hydraulic Oil: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,blocked cooler core,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Operational test passed,8.66,8.63,14744.55,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00038,MR-00038,EQ-0234,TECH-0563,2024-05-15,Corrective,Evening,15276,Swing Motor: Line restriction; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,air entering suction line,replaced damaged hose and pressure-tested circuit,Pump seal kit,Operational test passed,9.99,10.22,18970.78,2024-11-15,Completed - Monitor,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00039,MR-00039,EQ-0162,TECH-0296,2024-05-15,Preventive,Day,9391,Hydraulic Pump: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Leak test passed,9.03,3.53,30870.92,2024-11-15,Completed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00040,MR-00040,EQ-0167,TECH-0160,2024-05-15,Inspection,Night,16933,Boom Cylinder: Pilot pressure drop; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Hydraulic hose,Leak test passed,9.35,9.54,45520.75,2024-11-15,Completed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00041,MR-00041,EQ-0119,TECH-0911,2024-05-15,Corrective,Day,1820,Hydraulic Oil: Cooler restriction; observed symptom: travel function loses power on incline.,Operational test under load,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Operational test passed,10.09,9.44,34433.2,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00042,MR-00042,EQ-0216,TECH-0979,2024-05-15,Preventive,Night,5153,Hydraulic Pump: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Leak test passed,5.69,10.45,34296.63,2024-11-15,Completed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00043,MR-00043,EQ-0195,TECH-0554,2024-05-15,Condition-Based,Night,2097,Hydraulic Line: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Leak test passed,10.76,6.68,50177.11,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00044,MR-00044,EQ-0143,TECH-0752,2024-05-15,Preventive,Night,8089,Main Control Valve: Pilot pressure drop; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Functional test passed,8.67,11.46,41200.7,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00045,MR-00045,EQ-0227,TECH-0249,2024-05-15,Inspection,Evening,13370,Hydraulic Filter: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,high oil temperature,replaced damaged hose and pressure-tested circuit,Return filter element,Operational test passed,14.3,4.64,40504.33,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00046,MR-00046,EQ-0171,TECH-0860,2024-05-15,Inspection,Day,7165,Oil Cooler: Cylinder seal wear; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Pressure test passed,2.35,0.6,25105.09,2024-11-15,Closed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00047,MR-00047,EQ-0182,TECH-0410,2024-05-15,Preventive,Evening,15103,Bucket Cylinder: Internal pump leakage; observed symptom: pump noise increases during operation.,Temperature and pressure checks,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Pressure test passed,15.4,8.4,37856.74,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00048,MR-00048,EQ-0229,TECH-0273,2024-05-15,Inspection,Evening,12177,Pilot System: Air ingress; observed symptom: pump noise increases during operation.,Temperature and pressure checks,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Valve O-rings,Functional test passed,6.44,7.1,57847.38,2024-11-15,Completed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00049,MR-00049,EQ-0192,TECH-0763,2024-05-15,Inspection,Day,12389,Pilot System: Cylinder seal wear; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Return filter element,Functional test passed,1.8,4.31,30932.74,2024-11-15,Follow-up Required,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00050,MR-00050,EQ-0219,TECH-0988,2024-05-15,Condition-Based,Day,7136,Pilot System: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Pressure test passed,8.71,2.58,25647.59,2024-11-15,Closed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00051,MR-00051,EQ-0154,TECH-0636,2024-05-15,Preventive,Night,3228,Hydraulic Filter: Accumulator pressure loss; observed symptom: pump noise increases during operation.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Pump seal kit,Pressure test passed,14.06,4.73,17261.57,2024-11-15,Closed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00052,MR-00052,EQ-0184,TECH-0463,2024-05-15,Inspection,Evening,18015,Main Control Valve: Valve spool binding; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic filter,Operational test passed,12.83,8.71,34060.12,2024-11-15,Completed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00053,MR-00053,EQ-0134,TECH-0641,2024-05-15,Preventive,Night,11331,Hydraulic Oil: Air ingress; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,blocked cooler core,replaced damaged hose and pressure-tested circuit,Valve O-rings,Operational test passed,4.32,5.83,74495.99,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00054,MR-00054,EQ-0195,TECH-0629,2024-05-15,Preventive,Night,5810,Travel Motor: Cylinder seal wear; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Operational test passed,7.95,1.79,68635.57,2024-11-15,Closed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00055,MR-00055,EQ-0230,TECH-0712,2024-05-15,Preventive,Night,11953,Travel Motor: Oil contamination; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Operational test passed,13.42,1.04,60919.97,2024-11-15,Completed - Monitor,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00056,MR-00056,EQ-0199,TECH-0789,2024-05-15,Inspection,Evening,7469,Swing Motor: Line restriction; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Functional test passed,15.18,8.01,63993.36,2024-11-15,Completed - Monitor,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00057,MR-00057,EQ-0170,TECH-0219,2024-05-15,Inspection,Day,17587,Travel Motor: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Functional test passed,5.89,11.0,33402.69,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00058,MR-00058,EQ-0174,TECH-0351,2024-05-15,Condition-Based,Evening,8979,Arm Cylinder: Oil contamination; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Operational test passed,4.87,3.74,17906.81,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00059,MR-00059,EQ-0124,TECH-0343,2024-05-15,Condition-Based,Day,6052,Hydraulic Line: Line restriction; observed symptom: travel function loses power on incline.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Pressure test passed,3.54,7.61,46136.44,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00060,MR-00060,EQ-0164,TECH-0287,2024-05-15,Inspection,Evening,14315,Oil Cooler: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,15.12,2.3,64901.06,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00061,MR-00061,EQ-0119,TECH-0339,2024-05-15,Corrective,Day,14931,Accumulator: Cylinder seal wear; observed symptom: travel function loses power on incline.,Temperature and pressure checks,air entering suction line,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Pressure test passed,4.19,0.81,48691.3,2024-11-15,Completed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00062,MR-00062,EQ-0122,TECH-0751,2024-05-15,Inspection,Day,17410,Hydraulic Pump: Line restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,blocked cooler core,inspected hydraulic circuit and isolated affected component,Pump seal kit,Functional test passed,5.54,1.97,61035.99,2024-11-15,Closed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00063,MR-00063,EQ-0149,TECH-0181,2024-05-15,Inspection,Night,4541,Swing Motor: Cylinder seal wear; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,15.89,7.09,27359.94,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00064,MR-00064,EQ-0123,TECH-0594,2024-05-15,Condition-Based,Evening,9456,Hydraulic Filter: Cylinder seal wear; observed symptom: pump noise increases during operation.,Temperature and pressure checks,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Pump seal kit,Leak test passed,13.52,6.91,40278.23,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00065,MR-00065,EQ-0156,TECH-0608,2024-05-15,Condition-Based,Day,12421,Swing Motor: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,blocked cooler core,replaced damaged hose and pressure-tested circuit,Pump seal kit,Operational test passed,4.23,6.83,22807.97,2024-11-15,Follow-up Required,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00066,MR-00066,EQ-0114,TECH-0389,2024-05-15,Preventive,Night,8204,Travel Motor: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Pressure test passed,6.2,8.38,20426.94,2024-11-15,Completed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00067,MR-00067,EQ-0214,TECH-0665,2024-05-15,Corrective,Day,15526,Arm Cylinder: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Operational test passed,5.06,9.28,51794.67,2024-11-15,Follow-up Required,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
