maintenance_id,service_id,equipment_id,equipment_type,equipment_model_class,site_id,maintenance_date,maintenance_type,priority,operating_hours,component,failure_mode,reported_symptom,probable_cause,work_performed,parts_materials,technician_id,labor_hours,downtime_hours,material_cost,labor_cost,total_cost,status
MR-00016,SR-00016,EQ-0132,Hydraulic Excavator,20T Class Excavator,SITE-03,2024-05-15,Preventive,Medium,14437,Hydraulic Line,Internal pump leakage,hydraulic oil temperature rises during continuous operation,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,TECH-0247,7.86,5.29,17908.66,8002.73,25911.39,Completed - Monitor
MR-00017,SR-00017,EQ-0184,Motor Grader,45T Class Excavator,SITE-07,2024-05-15,Inspection,Critical,13757,Oil Cooler,Filter blockage,hydraulic oil temperature rises during continuous operation,blocked cooler core,replaced damaged hose and pressure-tested circuit,Return filter element,TECH-0630,5.23,2.53,49336.97,12820.35,62157.32,Completed
MR-00018,SR-00018,EQ-0196,Wheel Loader,20T Class Excavator,SITE-07,2024-05-15,Preventive,Medium,17409,Bucket Cylinder,Air ingress,hydraulic oil temperature rises during continuous operation,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0894,5.99,9.73,7116.67,7270.4,14387.07,Completed
MR-00019,SR-00019,EQ-0164,Wheel Loader,20T Class Excavator,SITE-05,2024-05-15,Condition-Based,Medium,4496,Oil Cooler,Internal pump leakage,pump noise increases during operation,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0117,2.42,11.92,56830.03,13376.38,70206.41,Completed - Monitor
MR-00020,SR-00020,EQ-0235,Backhoe Loader,45T Class Excavator,SITE-06,2024-05-15,Preventive,Medium,14538,Accumulator,Cylinder seal wear,pump noise increases during operation,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,TECH-0426,8.81,8.41,51609.23,14490.19,66099.42,Completed - Monitor
MR-00021,SR-00021,EQ-0173,Wheel Loader,45T Class Excavator,SITE-04,2024-05-15,Condition-Based,Medium,17102,Swing Motor,Oil contamination,pump noise increases during operation,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic filter,TECH-0421,10.2,2.18,35512.28,14828.8,50341.08,Completed - Monitor
MR-00022,SR-00022,EQ-0121,Crawler Dozer,30T Class Excavator,SITE-03,2024-05-15,Corrective,Medium,9318,Hydraulic Pump,Cylinder seal wear,travel function loses power on incline,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic hose,TECH-0605,4.67,4.93,4599.12,12622.41,17221.53,Closed
MR-00023,SR-00023,EQ-0130,Backhoe Loader,35T Class Dozer,SITE-06,2024-05-15,Preventive,High,9031,Bucket Cylinder,Valve spool binding,arm movement slow after hydraulic oil warms,high oil temperature,inspected hydraulic circuit and isolated affected component,Hydraulic hose,TECH-0571,2.38,4.83,16405.87,12796.37,29202.24,Completed - Monitor
MR-00024,SR-00024,EQ-0163,Hydraulic Excavator,30T Class Excavator,SITE-02,2024-05-15,Inspection,Medium,1841,Pilot System,Pilot pressure drop,bucket cylinder leaking externally,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0774,12.22,2.41,50292.13,8372.08,58664.21,Completed - Monitor
MR-00025,SR-00025,EQ-0124,Hydraulic Excavator,25T Class Dozer,SITE-08,2024-05-15,Corrective,Medium,12797,Hydraulic Pump,Cooler restriction,bucket cylinder leaking externally,blocked cooler core,tested pilot pressure and inspected pilot circuit,Pump seal kit,TECH-0451,10.23,3.28,3920.3,12065.73,15986.03,Completed
MR-00026,SR-00026,EQ-0235,Hydraulic Excavator,25T Class Dozer,SITE-02,2024-05-15,Corrective,Medium,18473,Pilot System,Cooler restriction,pump noise increases during operation,high oil temperature,inspected hydraulic circuit and isolated affected component,Return filter element,TECH-0327,9.42,1.83,24380.66,3356.17,27736.83,Completed
MR-00027,SR-00027,EQ-0123,Wheel Loader,45T Class Excavator,SITE-07,2024-05-15,Preventive,Medium,7130,Hydraulic Oil,Valve spool binding,hydraulic flow is low at operating temperature,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,TECH-0663,8.13,6.56,27909.93,4675.59,32585.52,Completed
MR-00028,SR-00028,EQ-0183,Motor Grader,25T Class Dozer,SITE-03,2024-05-15,Preventive,Low,14500,Oil Cooler,Air ingress,hydraulic oil temperature rises during continuous operation,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic hose,TECH-0458,3.83,11.58,46322.65,536.58,46859.23,Closed
MR-00029,SR-00029,EQ-0160,Backhoe Loader,20T Class Excavator,SITE-01,2024-05-15,Condition-Based,Low,15219,Hydraulic Pump,Accumulator pressure loss,pump noise increases during operation,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Cooler gasket set,TECH-0549,11.05,1.6,38823.78,12278.92,51102.7,Closed
MR-00030,SR-00030,EQ-0234,Hydraulic Excavator,25T Class Dozer,SITE-07,2024-05-15,Condition-Based,Low,7851,Hydraulic Filter,Pilot pressure drop,travel function loses power on incline,high oil temperature,tested pilot pressure and inspected pilot circuit,Pump seal kit,TECH-0306,1.16,0.84,44913.95,1534.98,46448.93,Completed - Monitor
MR-00031,SR-00031,EQ-0240,Motor Grader,45T Class Excavator,SITE-06,2024-05-15,Inspection,Critical,15852,Hydraulic Line,Internal pump leakage,arm movement slow after hydraulic oil warms,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,TECH-0244,14.3,4.69,47688.02,6013.51,53701.53,Follow-up Required
MR-00032,SR-00032,EQ-0164,Hydraulic Excavator,25T Class Dozer,SITE-01,2024-05-15,Condition-Based,Medium,3651,Main Control Valve,Internal pump leakage,hydraulic oil temperature rises during continuous operation,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Cooler gasket set,TECH-0851,13.45,7.99,26885.93,13060.56,39946.49,Closed
MR-00033,SR-00033,EQ-0147,Wheel Loader,30T Class Excavator,SITE-06,2024-05-15,Preventive,Critical,11357,Swing Motor,Air ingress,arm movement slow after hydraulic oil warms,blocked cooler core,tested pilot pressure and inspected pilot circuit,Pump seal kit,TECH-0349,14.04,7.52,38826.24,7667.04,46493.28,Follow-up Required
MR-00034,SR-00034,EQ-0224,Backhoe Loader,25T Class Dozer,SITE-06,2024-05-15,Preventive,Low,12089,Hydraulic Pump,Oil contamination,pump noise increases during operation,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic filter,TECH-0455,15.83,11.25,45504.45,3655.62,49160.07,Follow-up Required
MR-00035,SR-00035,EQ-0127,Wheel Loader,35T Class Dozer,SITE-04,2024-05-15,Inspection,Critical,3750,Accumulator,Line restriction,pump noise increases during operation,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,TECH-0992,7.05,6.83,33771.68,12840.56,46612.24,Follow-up Required
MR-00036,SR-00036,EQ-0188,Wheel Loader,45T Class Excavator,SITE-08,2024-05-15,Condition-Based,Medium,5179,Hydraulic Line,Air ingress,hydraulic oil temperature rises during continuous operation,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic filter,TECH-0786,5.89,9.96,39499.04,13231.38,52730.42,Completed
MR-00037,SR-00037,EQ-0161,Crawler Dozer,25T Class Dozer,SITE-03,2024-05-15,Inspection,High,8247,Hydraulic Oil,Pilot pressure drop,bucket cylinder leaking externally,blocked cooler core,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,TECH-0273,8.66,8.63,10391.5,4353.05,14744.55,Completed
MR-00038,SR-00038,EQ-0234,Crawler Dozer,20T Class Excavator,SITE-02,2024-05-15,Corrective,Critical,15276,Swing Motor,Line restriction,arm movement slow after hydraulic oil warms,air entering suction line,replaced damaged hose and pressure-tested circuit,Pump seal kit,TECH-0563,9.99,10.22,9580.93,9389.85,18970.78,Completed - Monitor
MR-00039,SR-00039,EQ-0162,Wheel Loader,30T Class Excavator,SITE-01,2024-05-15,Preventive,High,9391,Hydraulic Pump,Pilot pressure drop,bucket cylinder leaking externally,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,TECH-0296,9.03,3.53,24039.39,6831.53,30870.92,Completed
MR-00040,SR-00040,EQ-0167,Wheel Loader,20T Class Excavator,SITE-05,2024-05-15,Inspection,Medium,16933,Boom Cylinder,Pilot pressure drop,hydraulic flow is low at operating temperature,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Hydraulic hose,TECH-0160,9.35,9.54,32222.64,13298.11,45520.75,Completed
MR-00041,SR-00041,EQ-0119,Hydraulic Excavator,30T Class Excavator,SITE-08,2024-05-15,Corrective,Low,1820,Hydraulic Oil,Cooler restriction,travel function loses power on incline,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,TECH-0911,10.09,9.44,22950.42,11482.78,34433.2,Closed
MR-00042,SR-00042,EQ-0216,Hydraulic Excavator,25T Class Dozer,SITE-05,2024-05-15,Preventive,Critical,5153,Hydraulic Pump,Pilot pressure drop,hydraulic oil temperature rises during continuous operation,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Cooler gasket set,TECH-0979,5.69,10.45,22247.35,12049.28,34296.63,Completed
MR-00043,SR-00043,EQ-0195,Hydraulic Excavator,30T Class Excavator,SITE-07,2024-05-15,Condition-Based,High,2097,Hydraulic Line,Oil contamination,hydraulic oil temperature rises during continuous operation,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic oil,TECH-0554,10.76,6.68,42792.34,7384.77,50177.11,Closed
MR-00044,SR-00044,EQ-0143,Motor Grader,35T Class Dozer,SITE-08,2024-05-15,Preventive,Medium,8089,Main Control Valve,Pilot pressure drop,hydraulic flow is low at operating temperature,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,TECH-0752,8.67,11.46,33296.74,7903.96,41200.7,Closed
MR-00045,SR-00045,EQ-0227,Hydraulic Excavator,45T Class Excavator,SITE-01,2024-05-15,Inspection,Low,13370,Hydraulic Filter,Pilot pressure drop,hydraulic oil temperature rises during continuous operation,high oil temperature,replaced damaged hose and pressure-tested circuit,Return filter element,TECH-0249,14.3,4.64,39266.03,1238.3,40504.33,Completed
MR-00046,SR-00046,EQ-0171,Crawler Dozer,45T Class Excavator,SITE-04,2024-05-15,Inspection,High,7165,Oil Cooler,Cylinder seal wear,travel function loses power on incline,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,TECH-0860,2.35,0.6,18002.73,7102.36,25105.09,Closed
MR-00047,SR-00047,EQ-0182,Wheel Loader,35T Class Dozer,SITE-05,2024-05-15,Preventive,Low,15103,Bucket Cylinder,Internal pump leakage,pump noise increases during operation,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0410,15.4,8.4,33220.15,4636.59,37856.74,Completed - Monitor
MR-00048,SR-00048,EQ-0229,Motor Grader,45T Class Excavator,SITE-02,2024-05-15,Inspection,Critical,12177,Pilot System,Air ingress,pump noise increases during operation,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Valve O-rings,TECH-0273,6.44,7.1,52579.29,5268.09,57847.38,Completed
MR-00049,SR-00049,EQ-0192,Crawler Dozer,30T Class Excavator,SITE-06,2024-05-15,Inspection,Low,12389,Pilot System,Cylinder seal wear,pump noise increases during operation,air entering suction line,inspected hydraulic circuit and isolated affected component,Return filter element,TECH-0763,1.8,4.31,17093.73,13839.01,30932.74,Follow-up Required
MR-00050,SR-00050,EQ-0219,Wheel Loader,35T Class Dozer,SITE-06,2024-05-15,Condition-Based,Medium,7136,Pilot System,Filter blockage,hydraulic flow is low at operating temperature,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0988,8.71,2.58,23761.19,1886.4,25647.59,Closed
MR-00051,SR-00051,EQ-0154,Motor Grader,25T Class Dozer,SITE-03,2024-05-15,Preventive,High,3228,Hydraulic Filter,Accumulator pressure loss,pump noise increases during operation,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Pump seal kit,TECH-0636,14.06,4.73,13795.85,3465.72,17261.57,Closed
MR-00052,SR-00052,EQ-0184,Backhoe Loader,35T Class Dozer,SITE-07,2024-05-15,Inspection,Medium,18015,Main Control Valve,Valve spool binding,bucket cylinder leaking externally,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Hydraulic filter,TECH-0463,12.83,8.71,20561.15,13498.97,34060.12,Completed
MR-00053,SR-00053,EQ-0134,Backhoe Loader,25T Class Dozer,SITE-01,2024-05-15,Preventive,Low,11331,Hydraulic Oil,Air ingress,bucket cylinder leaking externally,blocked cooler core,replaced damaged hose and pressure-tested circuit,Valve O-rings,TECH-0641,4.32,5.83,59522.81,14973.18,74495.99,Completed - Monitor
MR-00054,SR-00054,EQ-0195,Motor Grader,35T Class Dozer,SITE-02,2024-05-15,Preventive,Low,5810,Travel Motor,Cylinder seal wear,pump noise increases during operation,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic filter,TECH-0629,7.95,1.79,56751.27,11884.3,68635.57,Closed
MR-00055,SR-00055,EQ-0230,Wheel Loader,20T Class Excavator,SITE-05,2024-05-15,Preventive,High,11953,Travel Motor,Oil contamination,pump noise increases during operation,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,TECH-0712,13.42,1.04,57786.78,3133.19,60919.97,Completed - Monitor
MR-00056,SR-00056,EQ-0199,Wheel Loader,35T Class Dozer,SITE-05,2024-05-15,Inspection,Critical,7469,Swing Motor,Line restriction,travel function loses power on incline,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,TECH-0789,15.18,8.01,54671.5,9321.86,63993.36,Completed - Monitor
MR-00057,SR-00057,EQ-0170,Backhoe Loader,20T Class Excavator,SITE-06,2024-05-15,Inspection,Critical,17587,Travel Motor,Valve spool binding,hydraulic flow is low at operating temperature,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0219,5.89,11.0,28808.81,4593.88,33402.69,Follow-up Required
MR-00058,SR-00058,EQ-0174,Wheel Loader,20T Class Excavator,SITE-06,2024-05-15,Condition-Based,Low,8979,Arm Cylinder,Oil contamination,pump noise increases during operation,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0351,4.87,3.74,15904.66,2002.15,17906.81,Closed
MR-00059,SR-00059,EQ-0124,Crawler Dozer,45T Class Excavator,SITE-06,2024-05-15,Condition-Based,Critical,6052,Hydraulic Line,Line restriction,travel function loses power on incline,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic oil,TECH-0343,3.54,7.61,31260.87,14875.57,46136.44,Closed
MR-00060,SR-00060,EQ-0164,Motor Grader,35T Class Dozer,SITE-01,2024-05-15,Inspection,High,14315,Oil Cooler,Valve spool binding,hydraulic flow is low at operating temperature,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Valve O-rings,TECH-0287,15.12,2.3,61135.86,3765.2,64901.06,Follow-up Required
MR-00061,SR-00061,EQ-0119,Motor Grader,30T Class Excavator,SITE-06,2024-05-15,Corrective,Critical,14931,Accumulator,Cylinder seal wear,travel function loses power on incline,air entering suction line,inspected hydraulic circuit and isolated affected component,Cooler gasket set,TECH-0339,4.19,0.81,36282.16,12409.14,48691.3,Completed
MR-00062,SR-00062,EQ-0122,Wheel Loader,45T Class Excavator,SITE-02,2024-05-15,Inspection,Low,17410,Hydraulic Pump,Line restriction,hydraulic oil temperature rises during continuous operation,blocked cooler core,inspected hydraulic circuit and isolated affected component,Pump seal kit,TECH-0751,5.54,1.97,59784.72,1251.27,61035.99,Closed
MR-00063,SR-00063,EQ-0149,Hydraulic Excavator,20T Class Excavator,SITE-08,2024-05-15,Inspection,Medium,4541,Swing Motor,Cylinder seal wear,arm movement slow after hydraulic oil warms,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,TECH-0181,15.89,7.09,19060.06,8299.88,27359.94,Completed
MR-00064,SR-00064,EQ-0123,Wheel Loader,35T Class Dozer,SITE-01,2024-05-15,Condition-Based,High,9456,Hydraulic Filter,Cylinder seal wear,pump noise increases during operation,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Pump seal kit,TECH-0594,13.52,6.91,26839.72,13438.51,40278.23,Follow-up Required
MR-00065,SR-00065,EQ-0156,Crawler Dozer,30T Class Excavator,SITE-02,2024-05-15,Condition-Based,Critical,12421,Swing Motor,Internal pump leakage,hydraulic flow is low at operating temperature,blocked cooler core,replaced damaged hose and pressure-tested circuit,Pump seal kit,TECH-0608,4.23,6.83,11138.25,11669.72,22807.97,Follow-up Required
MR-00066,SR-00066,EQ-0114,Crawler Dozer,25T Class Dozer,SITE-02,2024-05-15,Preventive,High,8204,Travel Motor,Oil contamination,hydraulic oil temperature rises during continuous operation,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Hydraulic filter,TECH-0389,6.2,8.38,7375.99,13050.95,20426.94,Completed
MR-00067,SR-00067,EQ-0214,Crawler Dozer,30T Class Excavator,SITE-06,2024-05-15,Corrective,Medium,15526,Arm Cylinder,Internal pump leakage,hydraulic flow is low at operating temperature,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic filter,TECH-0665,5.06,9.28,38324.56,13470.11,51794.67,Follow-up Required
MR-00068,SR-00068,EQ-0132,Hydraulic Excavator,45T Class Excavator,SITE-08,2024-05-15,Inspection,Medium,17613,Hydraulic Oil,Internal pump leakage,hydraulic flow is low at operating temperature,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cooler gasket set,TECH-0912,12.03,8.72,55329.87,2924.05,58253.92,Follow-up Required
MR-00069,SR-00069,EQ-0118,Motor Grader,20T Class Excavator,SITE-05,2024-05-15,Condition-Based,High,10540,Hydraulic Filter,Internal pump leakage,arm movement slow after hydraulic oil warms,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,TECH-0895,3.83,1.7,60747.22,6356.7,67103.92,Follow-up Required
MR-00070,SR-00070,EQ-0190,Crawler Dozer,35T Class Dozer,SITE-08,2024-05-15,Preventive,Low,13035,Hydraulic Filter,Oil contamination,arm movement slow after hydraulic oil warms,contaminated hydraulic oil,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,TECH-0150,5.76,9.63,64180.42,10299.47,74479.89,Completed - Monitor
MR-00071,SR-00071,EQ-0211,Hydraulic Excavator,30T Class Excavator,SITE-02,2024-05-15,Inspection,Critical,14345,Boom Cylinder,Cooler restriction,hydraulic flow is low at operating temperature,air entering suction line,inspected hydraulic circuit and isolated affected component,Pump seal kit,TECH-0504,13.17,4.15,38148.87,10061.77,48210.64,Follow-up Required
MR-00072,SR-00072,EQ-0205,Wheel Loader,20T Class Excavator,SITE-08,2024-05-15,Condition-Based,Critical,13113,Hydraulic Oil,Valve spool binding,bucket cylinder leaking externally,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,TECH-0812,1.93,9.19,24801.42,10716.57,35517.99,Closed
MR-00073,SR-00073,EQ-0219,Hydraulic Excavator,20T Class Excavator,SITE-07,2024-05-15,Corrective,Critical,8758,Hydraulic Line,Valve spool binding,bucket cylinder leaking externally,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0461,14.6,3.82,58686.34,9828.97,68515.31,Follow-up Required
MR-00074,SR-00074,EQ-0173,Hydraulic Excavator,30T Class Excavator,SITE-04,2024-05-15,Preventive,Low,7437,Hydraulic Oil,Pilot pressure drop,pump noise increases during operation,high oil temperature,inspected hydraulic circuit and isolated affected component,Valve O-rings,TECH-0951,10.52,7.16,44181.73,3665.09,47846.82,Completed - Monitor
MR-00075,SR-00075,EQ-0104,Hydraulic Excavator,30T Class Excavator,SITE-01,2024-05-15,Preventive,Critical,9452,Pilot System,Cylinder seal wear,pump noise increases during operation,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,TECH-0614,5.07,1.74,26119.29,13479.22,39598.51,Closed
MR-00076,SR-00076,EQ-0214,Hydraulic Excavator,25T Class Dozer,SITE-01,2024-05-15,Condition-Based,Critical,10134,Hydraulic Pump,Pilot pressure drop,pump noise increases during operation,high oil temperature,tested pilot pressure and inspected pilot circuit,Return filter element,TECH-0919,5.02,7.96,2002.21,12202.5,14204.71,Closed
MR-00077,SR-00077,EQ-0170,Hydraulic Excavator,30T Class Excavator,SITE-05,2024-05-15,Preventive,Medium,8442,Main Control Valve,Pilot pressure drop,bucket cylinder leaking externally,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,TECH-0961,9.12,1.46,53760.37,7708.23,61468.6,Closed
MR-00078,SR-00078,EQ-0133,Motor Grader,30T Class Excavator,SITE-05,2024-05-15,Inspection,Low,9506,Pilot System,Accumulator pressure loss,travel function loses power on incline,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Return filter element,TECH-0701,10.03,5.37,24266.22,2006.98,26273.2,Completed
MR-00079,SR-00079,EQ-0159,Hydraulic Excavator,25T Class Dozer,SITE-04,2024-05-15,Condition-Based,Medium,7534,Hydraulic Line,Valve spool binding,arm movement slow after hydraulic oil warms,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,TECH-0216,14.26,6.23,1308.19,11376.71,12684.9,Closed
MR-00080,SR-00080,EQ-0176,Hydraulic Excavator,35T Class Dozer,SITE-04,2024-05-15,Preventive,Medium,8930,Accumulator,Filter blockage,travel function loses power on incline,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,TECH-0682,15.34,0.7,38230.34,9657.61,47887.95,Follow-up Required
MR-00081,SR-00081,EQ-0116,Backhoe Loader,30T Class Excavator,SITE-04,2024-05-15,Inspection,Critical,14554,Arm Cylinder,Cooler restriction,pump noise increases during operation,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic oil,TECH-0332,2.24,5.0,21157.96,10418.48,31576.44,Completed - Monitor
